,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.01,0.09,0.08,0.08,0.1,0.14,0.16,0.23,0.19,0.16,,0.27,0.21,0.3,0.43,0.28
e_1,0.06,0.01,0.09,0.09,0.09,0.16,0.17,0.2,0.22,0.2,0.22,0.25,0.25,,0.28,0.32
c_1,0.07,0.06,0.01,0.07,0.09,0.12,0.15,0.23,0.1,,0.16,0.17,0.23,0.34,0.26,0.31
d_1,0.07,0.07,0.08,0.01,0.09,,0.15,0.13,,0.2,0.13,0.19,0.18,0.26,0.2,0.17
b_1,0.04,0.05,0.03,0.04,0.01,0.11,0.11,0.11,0.11,0.15,0.12,,0.11,0.15,0.22,0.14
a_1,0.01,0.01,0.01,,0.01,,0.02,0.03,0.03,,0.03,0.04,0.04,,,
h_1,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
