,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.43,1.56,1.24,1.02,1.29,1.29,0.53,0.62,0.68,0.74,0.5,0.97,0.37,0.49,0.49,0.57
e_1,0.78,0.42,1.56,1.23,1.47,1.56,0.76,0.68,0.5,0.77,0.63,0.69,0.57,1.48,0.64,0.56
c_1,1.33,1.1,0.39,1.61,1.42,1.44,0.84,0.34,1.12,0.6,0.54,0.48,0.49,0.57,0.5,0.48
d_1,1.49,1.27,1.32,0.39,1.24,1.23,0.61,1.07,0.63,0.47,0.61,0.52,0.57,0.44,0.56,0.32
b_1,1.34,1.64,0.78,1.3,0.37,1.43,0.69,0.66,0.62,0.77,1.32,0.61,0.53,0.53,0.61,0.5
a_1,1.51,1.21,1.3,1.6,0.71,0.31,0.81,0.75,0.61,0.82,0.92,0.65,0.48,0.63,,0.53
h_1,1.02,0.88,0.93,1.08,1.04,0.79,0.25,0.52,0.34,0.67,0.39,0.39,0.79,0.43,0.47,0.46
d_0,0.94,0.61,1.17,1.88,1.05,0.77,0.55,0.28,0.48,0.59,0.47,0.44,0.35,0.4,0.39,0.39
c_0,0.93,1.13,1.99,0.62,1.05,0.83,0.6,0.41,0.26,0.51,0.53,0.48,0.33,0.42,0.42,0.35
g_1,1.02,1.04,1.06,1.11,1.05,0.65,0.39,0.46,0.42,0.22,0.47,0.49,0.29,0.49,0.48,0.4
b_0,1.16,0.77,1.37,0.88,2.36,0.75,0.47,0.41,0.26,0.53,0.24,0.39,0.33,0.53,0.49,0.32
f_0,1.77,0.91,0.93,0.87,0.97,0.82,0.54,0.42,0.39,0.34,0.44,0.24,0.4,0.46,0.45,0.25
h_0,1.2,0.82,0.94,0.82,0.94,1.03,0.73,0.43,0.44,0.54,0.42,0.48,0.53,0.43,0.43,0.46
e_0,1.52,1.18,0.83,1.03,0.82,0.96,0.47,0.36,0.49,0.43,0.37,0.24,0.38,0.21,0.47,0.4
a_0,1.12,0.8,1.16,0.95,1.2,,0.5,0.48,0.41,0.55,0.22,0.4,0.34,0.41,0.2,0.4
g_0,0.94,0.88,1.02,1.01,1.04,0.91,0.38,0.46,0.37,,0.4,0.48,0.27,0.38,0.39,
