,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,3.74,0.66,0.43,0.42,0.36,0.29,0.73,0.75,0.74,0.77,0.65,0.18,1.05,0.86,0.86,0.61
e_1,0.45,3.83,0.35,0.41,0.36,0.41,0.65,1.66,0.72,0.75,0.95,0.87,0.95,0.59,1.01,0.32
d_1,0.51,0.39,4.1,0.26,0.38,0.36,0.79,0.12,0.69,1.71,0.92,0.76,0.83,1.09,0.81,0.77
c_1,0.39,0.38,0.39,4.27,0.77,0.35,0.67,0.64,0.77,0.14,0.63,1.08,0.76,0.92,0.76,0.84
b_1,0.38,0.38,0.34,0.47,4.76,0.86,0.71,0.96,0.69,0.72,0.15,0.71,0.68,0.57,0.9,0.69
a_1,0.43,0.38,0.41,0.37,0.29,7.24,1.08,0.93,0.8,0.71,1.08,0.72,1.14,0.22,0.77,0.76
h_1,0.97,0.68,0.78,0.78,0.56,0.35,5.19,1.11,1.75,1.18,1.17,1.2,0.59,1.12,1.8,1.51
d_0,0.6,0.6,0.22,1.56,0.66,0.71,1.62,3.83,1.04,1.12,1.52,1.53,1.27,1.01,1.73,2.2
g_1,0.58,0.7,1.26,0.55,0.71,0.34,1.12,1.05,6.51,1.56,1.36,2.52,1.62,1.34,0.47,1.55
c_0,0.78,0.71,0.69,0.33,0.6,0.83,1.21,1.19,1.42,4.08,2.81,1.75,1.8,1.68,1.82,1.7
b_0,0.79,0.77,0.83,0.7,0.25,0.58,1.39,1.19,1.15,1.51,4.14,1.51,1.62,3.26,1.49,1.93
f_0,0.2,0.55,0.97,0.83,0.72,0.73,1.46,1.56,1.57,1.62,1.99,4.86,1.68,1.94,1.39,3.93
h_0,0.88,0.67,0.88,0.6,0.67,0.57,0.59,1.25,1.48,1.15,1.6,1.42,0.5,1.39,1.69,1.47
a_0,0.64,0.84,0.71,0.79,0.68,0.27,1.5,1.26,1.29,1.44,1.51,1.62,1.59,5.96,1.94,1.45
g_0,0.66,0.58,1.07,0.86,0.56,0.66,1.26,1.16,,1.16,1.54,2.03,1.49,1.14,0.55,1.47
e_0,0.6,0.25,0.7,1.06,0.95,0.58,1.3,1.45,1.42,1.36,2.36,2.02,2.16,1.24,2.1,6.86
