,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.17,0.65,0.73,0.74,0.74,0.74,0.17,0.27,0.18,0.17,0.38,0.15,0.08,0.14,0.16,0.19
d_1,0.88,0.16,0.97,0.78,0.79,0.65,0.24,0.15,0.31,0.15,0.14,0.13,0.1,0.07,0.13,0.12
e_1,0.4,0.81,0.16,0.88,0.89,0.92,0.27,0.24,0.19,0.17,0.2,0.2,0.13,0.12,0.17,0.45
c_1,0.76,0.97,0.71,0.15,0.72,0.68,0.17,0.19,0.09,0.32,0.16,0.12,0.13,0.11,0.14,0.15
b_1,0.98,0.81,0.74,0.39,0.14,0.94,0.26,0.29,0.17,0.19,0.15,0.43,0.11,0.13,0.18,0.16
a_1,0.86,1.06,0.66,1.16,0.41,0.09,0.28,0.2,0.18,0.13,0.15,0.17,0.12,0.12,0.42,0.15
h_1,0.64,0.68,0.61,0.63,0.54,0.69,0.06,0.23,0.11,0.12,0.12,0.12,0.17,0.08,0.1,0.09
g_1,0.82,0.52,0.59,0.71,0.64,0.54,0.14,0.05,0.12,0.11,0.1,0.15,0.07,0.14,0.14,0.11
d_0,0.62,1.25,0.33,0.67,0.66,0.62,0.18,0.23,0.07,0.12,0.14,0.12,0.1,0.09,0.13,0.13
c_0,0.79,0.32,0.59,1.59,0.63,0.58,0.18,0.16,0.17,0.06,0.12,0.13,0.09,0.09,0.13,0.13
f_0,1.3,0.51,0.58,0.75,0.58,0.48,0.18,0.12,0.17,0.1,0.06,0.12,0.08,0.05,0.11,0.11
b_0,0.69,0.49,0.55,0.79,1.3,0.56,0.17,0.16,0.13,0.07,0.11,0.06,0.09,0.08,0.12,0.1
h_0,0.67,0.51,0.53,0.55,0.66,0.53,0.36,0.17,0.14,0.1,0.11,0.11,0.15,0.1,0.11,0.1
g_0,0.65,0.56,0.63,0.6,0.59,0.58,0.11,0.32,0.13,0.12,0.12,0.12,0.07,0.17,0.1,0.09
a_0,0.56,0.58,0.58,0.67,0.76,1.67,0.18,0.22,0.1,0.1,0.12,0.06,0.09,0.08,0.04,0.1
e_0,1.06,0.52,1.08,0.57,0.54,0.59,0.14,0.14,0.13,0.1,0.06,0.11,0.1,0.08,0.2,0.04
