,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,24.68,0.35,0.32,0.28,0.38,0.33,0.7,0.72,1.7,0.18,0.99,0.9,0.92,1.01,0.69,0.66
e_1,0.22,23.62,0.32,0.42,0.35,0.44,0.68,0.68,0.83,1.58,0.89,0.89,0.87,0.85,0.75,0.18
f_1,0.34,0.71,24.61,0.37,0.24,0.32,0.85,0.5,0.64,0.83,0.74,0.23,0.85,0.64,0.68,0.69
c_1,0.27,0.32,0.37,27.75,0.63,0.34,0.85,0.73,0.18,0.8,0.39,0.59,1.01,0.94,0.9,1.1
b_1,0.36,0.34,0.4,0.32,31.19,0.7,0.6,0.65,0.59,0.75,0.23,0.78,0.87,0.87,0.48,0.83
a_1,0.4,0.37,0.32,0.38,0.34,47.42,0.53,0.6,0.74,0.69,0.87,0.99,0.91,0.69,0.17,0.7
h_1,0.71,0.37,0.9,0.51,0.83,0.46,9.89,2.31,1.81,1.35,1.34,1.68,0.46,2.29,1.52,1.64
g_1,1.31,0.37,0.54,0.51,0.74,0.58,1.15,12.36,0.98,0.99,1.59,2.0,1.02,0.4,1.53,1.58
c_0,0.81,0.64,0.78,0.21,0.46,0.57,1.67,1.64,5.54,1.55,4.09,1.52,1.94,2.01,2.37,1.74
d_0,0.26,0.49,0.9,1.5,0.46,0.53,1.72,1.34,1.22,5.24,1.35,1.79,1.47,1.55,1.71,1.63
b_0,0.8,0.49,0.76,0.94,0.21,0.44,1.46,1.51,1.69,2.01,6.81,1.45,1.75,1.63,3.93,1.45
f_0,0.93,0.66,0.29,0.69,0.72,0.57,1.36,1.23,1.6,1.4,1.91,7.2,1.79,1.81,1.95,3.02
h_0,0.73,0.54,0.93,0.7,0.59,0.49,0.49,2.39,1.35,1.29,1.5,1.41,0.59,2.18,1.06,1.97
g_0,1.03,0.55,0.64,0.46,0.51,0.77,1.32,0.68,1.52,1.21,1.42,2.77,1.3,0.66,1.31,1.75
a_0,0.79,0.54,0.68,0.81,0.73,,1.43,1.43,1.27,1.39,1.47,1.78,2.12,1.4,10.4,1.76
e_0,1.0,0.14,0.61,0.64,0.84,0.63,1.57,1.54,1.72,1.53,1.74,1.72,1.89,1.47,1.87,10.87
