,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.88,0.18,0.07,0.08,0.06,0.05,0.08,0.08,0.05,0.07,0.02,0.06,0.06,0.04,0.03,0.05
e_1,0.1,0.88,0.1,0.06,0.05,0.05,0.06,0.15,0.07,0.08,0.08,0.07,0.1,0.02,0.04,0.05
c_1,0.1,0.08,0.88,0.08,0.13,0.05,0.07,0.07,0.05,0.01,0.07,0.05,0.08,0.03,0.04,0.08
d_1,0.09,0.09,0.07,0.88,0.06,0.04,0.08,0.02,0.06,0.15,0.09,0.06,0.07,0.05,0.04,0.06
b_1,0.11,0.08,0.08,0.09,0.87,0.1,0.06,0.08,0.05,0.05,0.06,0.02,0.09,0.04,0.05,0.07
a_1,0.1,0.09,0.11,0.08,0.06,0.87,0.06,0.1,0.05,0.06,0.06,0.06,0.09,0.05,0.01,0.06
h_1,0.25,0.13,0.15,0.12,0.11,0.07,0.53,0.12,0.16,0.15,0.08,0.11,0.06,0.06,0.07,0.13
d_0,0.19,0.15,0.26,0.04,0.11,0.08,0.15,0.37,0.09,0.13,0.17,0.11,0.13,0.06,0.06,0.13
g_1,0.17,0.13,0.12,0.22,0.1,0.09,0.12,0.12,0.52,0.09,0.18,0.13,0.12,0.1,0.08,0.05
c_0,0.17,0.19,0.05,0.18,0.11,0.08,0.12,0.13,0.12,0.38,0.13,0.25,0.13,0.11,0.09,0.09
f_0,0.06,0.13,0.17,0.2,0.13,0.09,0.13,0.13,0.1,0.16,0.39,0.13,0.14,0.2,0.07,0.14
b_0,0.17,0.18,0.17,0.11,0.04,0.08,0.17,0.14,0.15,0.16,0.14,0.38,0.15,0.08,0.16,0.11
h_0,0.23,0.14,0.13,0.12,0.12,0.09,0.06,0.13,0.14,0.12,0.13,0.15,0.07,0.08,0.07,0.12
e_0,0.14,0.08,0.16,0.13,0.14,0.09,0.16,0.21,0.12,0.17,0.15,0.17,0.16,0.37,0.12,0.15
a_0,0.2,0.12,0.18,0.16,0.12,0.03,0.16,0.18,0.09,0.13,0.1,0.15,0.16,0.1,0.36,0.12
g_0,0.11,0.16,0.15,0.23,0.14,0.08,0.15,0.08,0.03,0.12,0.17,0.14,0.13,0.09,0.06,0.04
