,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.61,0.9,0.86,0.89,0.65,0.45,0.44,0.64,0.47,0.38,0.41,0.3,0.28,0.41,
f_1,1.65,1.0,0.95,0.95,0.73,0.82,0.37,0.37,0.46,0.4,0.41,,0.29,0.33,0.25,0.3
d_1,1.11,1.05,1.0,0.98,0.85,0.81,0.55,0.38,,0.6,0.37,0.39,0.38,0.36,0.26,0.3
c_1,1.16,1.05,1.02,1.0,1.47,0.68,0.57,0.51,0.35,,0.37,0.39,0.42,0.33,0.28,0.29
b_1,1.12,1.37,1.18,0.68,1.0,1.12,0.62,0.63,0.39,0.52,,0.63,0.34,0.33,0.34,0.34
a_1,1.54,1.22,1.23,1.47,0.89,1.0,0.85,0.55,0.6,0.64,0.57,0.65,0.61,,,
h_1,2.21,2.71,1.83,1.75,1.61,1.18,1.0,1.02,0.99,0.8,0.69,0.79,,0.73,0.61,0.6
g_1,2.28,2.69,2.61,1.98,1.59,1.82,0.98,1.0,0.92,0.77,0.92,1.06,0.76,0.68,,0.64
d_0,1.56,2.19,,2.84,2.56,1.67,1.01,1.09,1.0,0.9,0.99,0.72,0.94,0.77,0.82,0.6
c_0,2.14,2.53,1.67,,1.91,1.56,1.26,1.3,1.11,1.0,1.35,0.63,0.9,0.59,0.93,0.74
b_0,2.62,2.43,2.69,2.69,,1.75,1.44,1.09,1.01,0.74,1.0,1.09,0.92,1.32,0.63,0.69
f_0,2.45,,2.55,2.58,1.59,1.55,1.27,0.95,1.38,1.6,0.91,1.0,0.97,0.73,0.59,1.0
h_0,3.33,3.5,2.66,2.38,2.94,1.65,,1.32,1.06,1.11,1.09,1.03,,0.92,1.14,0.84
a_0,3.53,3.05,2.75,3.05,3.01,,1.36,1.46,1.3,1.69,0.76,1.37,1.09,1.0,1.15,
g_0,2.46,3.98,3.78,3.59,2.94,,1.63,,1.22,1.08,1.58,1.7,0.88,0.87,,1.04
e_0,,3.31,3.34,3.5,2.93,,1.68,1.57,1.67,1.35,1.45,1.0,1.19,,0.97,1.0
