,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,14012.99,5220.81,7566.0,13501.51,12258.62,48151.99,5909978.97,12045317.81,21566491.96,47098170.91,48812772.85,62696617.1,239945064.24,146168954.25,195467083.85,386044519.21
d_1,6432.36,14799.39,7088.45,8767.04,11419.58,47305.43,6332590.41,14739133.45,43481835.31,16968314.72,52297445.66,75968973.85,247581909.3,229102448.66,234320617.23,465857920.4
f_1,10115.89,6075.76,15856.71,9679.34,10190.6,43349.61,5530934.07,13739091.68,23176073.25,28268266.47,36473510.48,64862916.87,209016959.84,121091241.49,222252882.82,394272977.55
c_1,5134.62,6126.3,7198.95,25394.11,21189.3,55644.02,5402977.87,11668218.84,16269652.28,24339866.17,45882100.05,40581756.67,263116174.79,191383234.43,152773264.06,458288859.01
b_1,5903.43,6183.89,6769.11,10246.96,31634.91,95018.77,5603385.2,13518118.04,18352309.63,26416658.14,44038395.62,41194085.88,257750562.14,207366706.98,145505210.36,422438129.53
a_1,6697.68,6919.6,7142.96,10641.78,12384.01,173765.75,5802673.79,15406223.03,21793174.5,27013004.43,47571053.26,65155512.62,231971929.65,234614280.39,167464643.42,382472889.87
h_1,6343.85,7441.52,9576.82,11433.26,11985.47,44426.22,9961765.36,17901091.23,25184053.14,25960236.04,54792202.36,77411931.48,205686526.56,209197733.35,203332376.34,590581161.75
g_1,6186.47,9887.87,7093.78,9342.38,12119.71,54824.45,6304638.11,29579159.82,30502466.41,23451360.69,75759062.6,75116250.08,235430483.77,241260577.29,203487456.6,430078965.25
c_0,6787.66,8351.46,8048.52,8970.95,11372.04,45323.96,6985364.88,16393570.58,40223307.17,28989879.45,60365050.02,132407187.08,274979873.86,223028390.0,313301785.96,496906049.94
d_0,5922.51,5150.95,7608.51,19798.32,14888.6,45312.07,6049702.38,12590454.06,16125183.88,43899472.02,47315859.51,61495967.56,260065028.07,192227548.28,188137600.44,461054541.63
f_0,5462.5,7261.86,7329.39,11504.99,14949.49,50308.57,6953300.91,18109417.19,27927464.96,28127996.4,87827209.6,81676004.35,300191856.08,432476597.01,203702744.97,547925739.28
b_0,6217.06,8485.57,8451.12,11946.81,9795.09,35740.37,6391406.2,15366685.71,27229646.64,26943680.37,57749143.81,115919832.76,303787369.31,239606073.59,437613870.52,494427337.08
h_0,6181.77,7691.6,9354.41,11918.98,12668.71,54823.1,4807574.66,19026926.94,23230573.13,27703688.39,53219799.2,71330800.6,198514882.2,217171552.03,227713860.38,636901252.87
e_0,5296.35,8128.08,8150.23,11122.15,12294.87,52098.97,7390230.93,16560851.91,27734459.75,26194677.48,59464979.72,79191745.98,326994700.37,447682351.36,219452133.02,554816153.51
a_0,6159.46,7597.1,8458.62,11906.4,12205.78,39198.28,6928341.5,15750180.84,27378889.75,28428332.15,54984741.52,77541917.94,303637936.06,256758995.63,416959052.74,569226962.69
g_0,5285.19,9922.37,6226.81,12517.54,12100.62,52597.95,5525325.24,12532289.71,27091428.94,23095016.88,76456612.93,71049496.04,253943446.62,259287331.48,196282933.17,401797716.29
