,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.96,0.55,0.47,0.6,0.44,0.31,0.38,0.38,0.56,0.36,0.34,0.37,0.26,0.35,0.27,0.22
f_1,0.79,0.95,0.56,0.53,0.43,0.35,0.37,0.32,0.35,0.3,0.32,0.22,0.25,0.27,0.29,0.15
d_1,0.61,0.63,0.95,0.49,0.46,0.37,0.4,0.33,0.27,0.53,0.37,0.31,0.26,0.32,0.24,0.21
c_1,0.56,0.62,0.58,0.95,0.74,0.3,0.37,0.32,0.31,0.25,0.25,0.3,0.27,0.32,0.26,0.23
b_1,0.6,0.63,0.6,0.49,0.95,0.63,0.36,0.34,0.32,0.36,0.26,0.32,0.26,0.34,0.26,0.23
a_1,0.66,0.72,0.64,0.77,0.43,0.94,0.54,0.44,0.43,0.4,0.43,0.37,0.24,0.43,0.32,0.31
h_1,0.88,1.03,0.78,0.88,0.73,0.38,0.79,0.62,0.49,0.51,0.48,0.43,0.38,0.41,0.46,0.34
g_1,0.81,0.76,1.16,0.84,0.68,0.53,0.57,0.78,0.43,0.55,0.47,0.67,0.38,0.45,0.34,0.4
d_0,0.73,0.92,0.86,1.33,0.73,0.52,0.62,0.58,0.71,0.39,0.49,0.55,0.39,0.5,0.43,0.39
c_0,0.87,1.07,0.88,0.84,0.6,0.55,0.59,0.61,0.61,0.72,0.87,0.58,0.51,0.57,0.4,0.36
b_0,0.89,1.01,0.94,1.03,0.63,0.57,0.61,0.59,0.55,0.47,0.72,0.56,0.72,0.57,0.48,0.39
f_0,0.75,0.92,1.05,0.98,0.77,0.6,0.75,0.58,0.6,0.58,0.56,0.71,0.49,0.6,0.38,0.68
a_0,0.96,1.06,1.23,0.98,0.83,0.45,0.72,0.63,0.59,0.53,0.55,0.57,0.67,0.53,0.54,0.41
h_0,0.94,1.32,1.05,0.95,0.79,0.56,0.58,0.68,0.57,0.54,0.55,0.47,0.5,0.47,0.55,0.37
g_0,1.02,1.03,1.43,0.95,0.91,0.58,0.68,0.65,0.64,0.69,0.61,0.83,0.53,0.59,0.45,0.43
e_0,0.82,1.34,1.1,1.15,0.96,0.72,0.77,0.62,0.65,0.65,0.56,0.52,0.49,0.56,0.53,0.64
