,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,2.44,0.83,0.73,0.68,0.64,0.71,1.54,1.22,2.84,1.0,1.93,1.59,1.87,2.03,2.03,2.16
f_1,0.73,2.43,1.22,0.81,0.74,0.83,1.28,1.47,1.36,1.41,1.56,0.7,1.42,2.17,1.11,1.76
e_1,0.7,0.71,2.51,0.91,0.74,0.64,1.7,1.34,1.74,2.96,2.0,1.77,1.71,1.58,1.0,1.79
c_1,0.77,0.64,0.68,2.56,1.27,0.65,1.78,1.36,0.64,1.34,1.71,1.82,1.77,2.37,1.91,2.03
b_1,0.78,0.78,0.78,0.69,2.69,1.23,1.29,1.68,1.44,1.84,0.67,1.7,1.31,2.21,1.87,2.25
a_1,0.89,0.84,0.73,0.84,0.66,3.34,1.5,1.69,2.08,1.44,1.34,1.63,0.85,2.36,1.51,1.88
h_1,1.18,1.3,0.85,0.83,0.98,0.89,3.83,2.65,2.04,2.09,2.35,2.44,2.6,1.84,2.44,3.19
g_1,1.49,0.87,1.07,0.94,0.97,0.83,1.37,4.25,1.83,1.7,2.19,2.85,2.04,2.02,2.67,1.43
c_0,0.87,1.34,0.98,0.74,1.05,0.93,2.21,2.29,3.69,2.45,3.73,2.52,2.67,2.7,2.43,3.12
d_0,0.52,1.11,0.81,1.92,0.75,1.22,1.76,1.86,1.82,3.77,2.07,2.43,1.9,2.66,2.57,2.97
b_0,0.97,1.16,0.79,1.06,0.66,1.05,2.22,1.98,1.94,2.8,4.12,3.03,3.98,3.35,2.81,3.23
f_0,1.26,0.69,0.98,1.02,1.14,0.98,1.85,1.88,2.36,2.19,2.24,4.01,2.35,3.01,3.47,2.78
a_0,0.89,1.29,1.01,1.1,1.22,,1.87,2.04,1.92,2.54,1.78,2.64,4.57,3.36,2.05,2.82
h_0,1.13,1.22,1.11,0.85,1.0,0.85,1.19,2.66,2.3,2.38,2.03,2.05,2.15,1.72,2.02,3.19
e_0,1.0,1.51,0.64,0.98,0.86,1.04,2.39,1.88,2.23,2.26,2.16,2.13,3.32,2.86,4.65,3.31
g_0,1.26,1.0,1.0,1.19,0.85,0.99,1.82,1.06,2.3,2.09,2.01,2.7,2.23,2.69,2.12,2.07
