,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,23.7,0.29,0.62,0.38,0.36,0.3,0.73,0.51,0.89,0.92,0.71,0.22,0.87,0.75,0.69,0.68
d_1,0.35,25.51,0.28,0.28,0.35,0.35,0.82,0.81,1.57,0.16,0.93,1.06,0.89,0.89,1.05,0.87
e_1,0.37,0.33,25.5,0.36,0.28,0.32,0.72,0.72,0.79,1.51,0.7,0.81,1.02,0.71,0.82,0.21
c_1,0.34,0.32,0.33,29.46,0.7,0.36,0.63,0.57,0.15,0.88,0.54,0.78,0.76,0.72,0.91,0.83
b_1,0.31,0.38,0.27,0.44,31.93,0.65,0.73,0.68,0.52,0.71,0.17,0.7,0.8,0.6,0.69,0.89
a_1,0.41,0.37,0.43,0.25,0.31,41.57,0.81,0.75,0.7,0.73,1.0,0.53,0.97,0.28,0.86,0.56
h_1,0.9,0.62,0.57,0.64,0.61,0.59,9.15,1.56,1.6,1.18,1.76,1.53,0.42,1.27,1.9,1.58
g_1,0.7,1.06,0.46,0.59,0.61,0.55,1.18,11.57,1.41,1.0,1.66,2.4,1.66,1.69,0.53,1.31
c_0,0.85,0.77,0.55,0.22,0.49,0.68,1.37,1.59,5.87,1.38,3.87,1.85,1.86,1.53,1.51,1.7
d_0,0.65,0.12,0.57,1.45,0.59,0.65,1.24,1.94,1.12,5.57,1.99,1.81,1.37,1.29,1.65,1.71
b_0,0.62,0.91,0.58,0.83,0.18,0.47,1.56,1.62,1.37,1.6,6.52,1.84,2.16,4.28,1.64,1.89
f_0,0.21,0.75,0.61,0.69,0.72,0.58,1.6,1.69,1.6,1.54,1.96,7.38,1.59,1.57,2.13,4.41
h_0,0.77,0.71,0.7,0.7,0.5,0.74,0.46,1.74,1.41,1.4,1.61,1.36,0.51,1.58,2.36,1.52
a_0,0.72,0.75,0.68,0.7,0.6,0.21,1.25,1.49,1.45,1.61,1.45,1.94,2.35,10.47,2.34,1.39
g_0,0.62,1.05,0.47,0.76,0.57,0.56,1.31,0.73,1.65,1.57,1.36,2.44,1.43,1.61,0.61,1.89
e_0,0.49,0.88,0.36,0.71,0.57,0.96,1.62,1.66,1.43,1.26,1.66,1.74,2.01,1.78,1.99,10.09
