,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.39,0.23,0.23,0.29,0.23,0.32,0.57,1.01,0.4,0.56,0.5,0.59,0.8,0.63,,0.96
f_1,0.43,2.41,0.3,0.35,0.29,0.34,0.42,0.66,0.51,0.53,0.59,,0.61,0.55,0.62,0.6
d_1,0.28,0.29,2.52,0.2,0.26,0.25,0.55,,0.63,1.11,0.67,0.54,0.8,0.44,0.72,0.68
c_1,0.25,0.23,0.35,2.52,0.4,0.29,0.6,0.5,0.61,,0.58,0.71,0.97,0.64,0.5,0.52
b_1,0.3,0.24,0.33,0.23,2.72,0.48,0.51,0.66,0.47,0.53,,0.66,0.73,0.54,0.58,0.75
a_1,0.23,0.26,0.32,0.26,0.27,3.26,0.6,0.71,0.52,0.58,0.76,0.48,0.85,,,0.81
h_1,0.59,0.85,0.43,0.46,0.51,0.39,3.78,1.19,1.07,0.97,1.43,1.13,,1.5,0.99,1.64
d_0,0.54,0.63,,0.94,0.52,0.57,1.22,3.36,1.13,1.48,1.43,1.37,1.92,1.12,1.5,2.01
g_1,0.53,0.47,0.59,0.48,0.61,0.52,1.07,1.22,4.23,0.99,0.99,1.89,1.56,1.13,0.95,
c_0,0.72,0.68,0.49,,0.69,0.54,1.27,1.19,1.26,3.6,2.2,1.36,1.55,1.24,1.73,1.52
b_0,0.77,0.63,0.49,0.62,,0.42,1.06,1.26,1.17,1.25,3.74,1.31,1.96,2.52,1.44,1.98
f_0,0.54,,0.81,0.65,0.55,0.57,1.22,1.23,1.1,1.56,1.58,3.79,1.48,1.58,,1.6
h_0,0.55,1.02,0.71,0.71,0.79,0.61,,1.66,1.89,1.91,1.64,1.96,,1.2,1.84,2.6
a_0,0.6,0.61,0.72,0.58,0.62,,1.22,1.71,1.21,1.61,0.89,1.14,2.32,4.53,,1.54
e_0,,0.68,0.59,0.64,0.65,,1.86,1.29,1.38,1.2,1.17,,1.75,,4.61,1.79
g_0,0.66,0.63,1.04,0.97,0.75,0.56,1.64,1.52,,1.78,1.58,2.52,1.66,1.42,1.31,
