,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.43,1.87,1.16,1.18,1.17,1.04,1.95,2.63,2.01,2.04,2.54,1.88,2.84,2.95,3.43,2.55
e_1,1.11,2.44,1.05,1.66,1.23,1.09,2.58,4.17,2.51,2.78,2.83,2.98,3.11,2.79,3.49,2.15
d_1,1.32,1.27,2.53,0.91,1.17,1.36,2.28,1.92,2.06,4.21,3.04,2.9,3.62,2.62,3.05,2.74
c_1,1.3,1.03,1.32,2.57,1.89,1.24,2.11,2.01,2.53,1.38,2.13,2.85,3.75,2.83,2.87,2.75
b_1,1.19,1.11,1.27,1.18,2.77,2.1,2.28,2.52,2.48,2.77,1.82,2.67,3.11,2.18,3.41,2.84
a_1,1.34,1.26,1.29,1.24,0.97,3.35,2.83,2.81,2.51,2.73,3.44,2.81,3.56,2.3,3.12,2.64
h_1,1.8,1.17,1.37,1.44,1.33,1.17,3.92,2.77,3.25,2.8,2.69,2.59,3.01,2.7,4.74,2.68
d_0,1.36,1.19,1.05,2.38,1.27,1.09,2.78,4.0,2.49,2.44,2.75,3.42,3.82,2.7,4.23,3.25
g_1,1.48,1.14,1.97,1.36,1.21,1.26,2.22,2.31,4.5,2.81,3.03,4.11,3.16,2.53,2.74,2.8
c_0,1.55,1.43,1.32,1.29,0.96,1.29,2.74,3.34,2.46,4.13,5.31,3.0,3.96,3.96,4.43,3.16
b_0,1.46,1.4,1.45,1.44,0.91,0.84,3.12,3.38,2.73,2.69,4.31,3.16,3.68,5.39,3.93,3.15
f_0,1.11,1.19,1.42,1.4,1.52,1.34,3.11,3.1,2.5,3.14,3.42,4.39,3.94,3.11,3.21,5.28
h_0,1.73,1.28,1.4,1.34,1.45,1.19,1.97,2.59,3.6,2.48,3.01,2.84,3.16,2.88,4.25,2.47
a_0,1.49,1.4,1.42,1.45,1.32,1.08,2.93,3.52,2.77,2.72,2.57,3.32,4.3,4.83,3.53,3.22
g_0,1.27,1.23,1.81,1.53,1.32,1.46,2.29,2.58,2.2,2.55,3.12,4.38,3.41,2.89,2.9,3.05
e_0,1.53,1.07,1.44,1.38,1.36,1.33,3.3,2.82,2.89,2.94,3.25,2.57,4.37,2.92,3.47,5.29
