,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,6.11,2.94,2.46,2.17,2.85,3.01,11.35,10.96,9.62,22.92,16.4,15.02,21.21,16.53,21.64,17.02
f_1,2.51,6.2,4.38,2.7,2.63,2.46,9.94,10.22,14.03,12.56,12.32,9.36,20.9,12.88,20.74,9.79
e_1,2.42,2.96,6.2,3.35,3.01,2.9,10.68,10.4,21.41,12.71,13.83,13.02,18.41,13.53,18.64,11.46
c_1,2.68,2.45,2.53,7.38,5.17,2.75,10.33,10.67,12.1,7.86,8.85,15.63,20.38,13.95,20.01,14.15
b_1,2.66,2.78,2.75,2.91,7.86,5.46,9.51,9.07,12.25,12.06,9.56,13.54,17.75,13.17,21.35,14.64
a_1,3.08,2.58,2.63,3.08,2.84,11.07,11.53,10.54,12.95,12.83,14.16,13.75,22.28,11.44,21.8,17.59
h_1,3.2,3.9,2.96,3.07,2.83,2.52,18.9,14.61,11.49,13.75,11.88,12.38,15.78,15.06,23.92,15.76
g_1,4.06,2.78,2.61,2.99,2.91,2.69,10.12,21.35,11.73,15.45,13.68,20.23,21.54,15.03,15.56,19.99
d_0,2.33,3.14,2.9,5.39,3.27,2.54,10.9,10.85,19.28,10.77,13.71,12.87,21.33,12.93,20.15,16.47
c_0,3.4,3.65,2.8,2.5,2.42,3.02,13.14,11.27,13.61,20.29,24.84,14.57,23.74,20.33,23.23,20.76
b_0,3.58,3.38,2.85,3.16,2.13,2.63,11.88,11.72,12.34,13.83,21.89,14.8,21.88,27.59,25.27,15.86
f_0,3.17,2.87,2.6,3.01,3.08,3.55,11.83,10.85,13.87,15.05,15.18,24.66,20.84,17.21,22.4,33.61
h_0,3.36,3.97,3.15,2.87,2.77,2.66,7.65,13.39,12.18,13.47,16.23,14.5,19.0,15.33,27.15,14.43
a_0,3.11,3.64,2.81,3.53,3.27,1.76,12.07,11.89,15.08,14.38,15.96,14.83,24.03,28.97,23.2,16.07
g_0,4.12,2.81,2.69,3.01,3.1,3.15,10.63,8.36,11.83,14.46,15.77,21.47,20.57,17.11,20.3,19.71
e_0,3.25,3.48,2.88,3.0,3.24,3.54,12.12,12.25,11.25,11.91,15.06,13.85,23.61,16.77,19.71,30.37
