,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.17,0.91,0.74,0.8,0.75,0.71,0.21,0.36,0.14,0.16,0.15,0.14,0.09,0.15,0.13,0.07
e_1,0.79,0.16,0.43,0.78,0.9,0.76,0.29,0.17,0.28,0.19,0.21,0.17,0.13,0.16,0.52,0.15
f_1,0.66,0.74,0.16,0.74,0.86,1.01,0.14,0.17,0.25,0.13,0.3,0.13,0.07,0.13,0.13,0.11
c_1,0.99,0.6,0.78,0.15,0.73,0.81,0.2,0.08,0.24,0.37,0.14,0.15,0.13,0.16,0.14,0.14
b_1,0.78,0.83,1.03,0.42,0.13,0.66,0.25,0.14,0.21,0.21,0.14,0.56,0.13,0.19,0.17,0.12
a_1,0.73,0.71,0.81,1.05,0.39,0.1,0.33,0.16,0.26,0.18,0.17,0.22,0.16,0.51,0.19,0.14
h_1,0.58,0.61,0.69,0.64,0.58,0.51,0.06,0.13,0.25,0.11,0.14,0.14,0.18,0.11,0.11,0.09
d_0,1.23,0.34,0.67,0.6,0.74,0.56,0.19,0.07,0.18,0.12,0.11,0.13,0.1,0.1,0.12,0.11
g_1,0.66,0.61,0.65,0.7,0.75,0.53,0.12,0.16,0.05,0.15,0.11,0.13,0.08,0.16,0.13,0.13
c_0,0.33,0.73,0.62,1.45,0.69,0.48,0.2,0.2,0.19,0.06,0.15,0.17,0.1,0.13,0.14,0.1
f_0,0.5,0.63,1.26,0.61,0.66,0.48,0.2,0.13,0.11,0.13,0.06,0.12,0.08,0.09,0.11,0.05
b_0,0.48,0.55,0.65,0.93,1.15,0.6,0.18,0.15,0.16,0.06,0.12,0.06,0.08,0.14,0.11,0.08
h_0,0.58,0.51,0.73,0.55,0.68,0.52,0.27,0.13,0.15,0.11,0.11,0.11,0.14,0.11,0.1,0.08
a_0,0.49,0.6,0.63,0.68,0.83,1.41,0.17,0.17,0.14,0.12,0.12,0.06,0.11,0.04,0.11,0.09
e_0,0.53,1.19,0.98,0.67,0.57,0.41,0.18,0.15,0.13,0.12,0.06,0.12,0.08,0.1,0.04,0.09
g_0,0.55,0.65,0.78,0.54,0.49,0.59,0.14,0.14,0.33,0.11,0.14,0.14,0.07,0.12,0.11,0.12
