,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.9,0.2,0.25,0.16,0.16,0.11,0.22,0.17,0.39,0.09,0.24,0.19,0.19,0.16,0.14,0.2
e_1,0.18,0.9,0.24,0.23,0.18,0.13,0.19,0.15,0.19,0.36,0.18,0.19,0.21,0.16,0.05,0.16
f_1,0.21,0.4,0.9,0.19,0.16,0.09,0.15,0.13,0.19,0.17,0.19,0.08,0.2,0.11,0.09,0.11
c_1,0.24,0.2,0.21,0.89,0.3,0.12,0.2,0.14,0.08,0.17,0.12,0.17,0.18,0.1,0.09,0.17
b_1,0.25,0.19,0.22,0.18,0.88,0.25,0.23,0.16,0.18,0.15,0.09,0.16,0.15,0.08,0.15,0.17
a_1,0.26,0.23,0.25,0.18,0.13,0.88,0.21,0.18,0.19,0.22,0.17,0.2,0.25,0.08,0.16,0.18
h_1,0.28,0.23,0.36,0.25,0.21,0.15,0.58,0.26,0.24,0.23,0.22,0.2,0.14,0.12,0.17,0.28
g_1,0.45,0.22,0.15,0.25,0.2,0.14,0.21,0.58,0.25,0.17,0.2,0.32,0.22,0.18,0.19,0.14
c_0,0.33,0.29,0.26,0.14,0.18,0.15,0.22,0.21,0.46,0.24,0.43,0.22,0.26,0.2,0.17,0.21
d_0,0.14,0.28,0.29,0.48,0.19,0.14,0.25,0.21,0.18,0.44,0.18,0.21,0.24,0.15,0.17,0.22
b_0,0.34,0.29,0.29,0.21,0.11,0.11,0.28,0.21,0.29,0.23,0.45,0.2,0.29,0.38,0.15,0.24
f_0,0.32,0.19,0.17,0.23,0.2,0.2,0.29,0.25,0.28,0.23,0.23,0.45,0.3,0.17,0.39,0.21
h_0,0.33,0.27,0.4,0.25,0.21,0.11,0.15,0.25,0.26,0.21,0.15,0.17,0.15,0.18,0.11,0.26
a_0,0.33,0.29,0.28,0.26,0.17,0.08,0.29,0.22,0.29,0.25,0.23,0.24,0.27,0.39,0.15,0.19
e_0,0.32,0.16,0.31,0.27,0.2,0.16,0.32,0.2,0.26,0.22,0.23,0.22,0.31,0.18,0.41,0.23
g_0,0.47,0.21,0.26,0.21,0.16,0.13,0.23,0.15,0.29,0.2,0.2,0.34,0.23,0.19,0.15,0.19
