,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.64,0.81,0.87,1.06,0.77,0.65,0.84,0.93,0.59,0.59,0.57,0.59,0.62,,0.55
f_1,1.57,1.0,1.08,1.07,1.07,0.84,0.58,0.66,0.58,0.56,,0.72,0.46,0.5,0.43,0.5
c_1,1.24,0.92,1.0,1.08,1.11,0.81,0.8,0.71,0.49,,0.72,0.59,0.72,0.62,0.49,0.51
d_1,1.15,0.94,0.93,1.0,0.96,0.93,0.8,0.6,,0.69,0.88,0.62,0.67,0.54,0.64,0.43
b_1,0.94,0.94,0.9,1.04,1.0,1.11,0.83,0.71,0.66,0.73,0.74,,,0.64,0.48,0.72
a_1,1.3,1.19,1.24,1.07,0.9,1.0,0.95,,0.81,0.93,0.56,0.7,,0.72,,
h_1,1.54,1.74,1.25,1.26,1.2,1.05,1.0,1.18,1.07,1.05,0.65,0.75,0.79,,0.82,0.76
g_1,1.19,1.53,1.42,1.67,1.41,,0.85,1.0,1.05,1.04,1.13,0.81,0.97,0.79,0.89,
d_0,1.07,1.73,2.02,,1.52,1.24,0.94,0.96,1.0,1.02,0.76,1.03,0.9,0.89,0.89,0.98
c_0,1.7,1.78,,1.45,1.38,1.08,0.95,0.96,0.98,1.0,1.07,1.51,0.76,0.96,0.82,1.16
f_0,1.69,,1.38,1.14,1.35,1.8,1.53,0.88,1.31,0.93,1.0,0.97,1.01,1.23,1.16,0.69
b_0,1.77,1.38,1.7,1.6,,1.42,1.33,1.24,0.97,0.66,1.03,1.0,1.4,0.87,1.08,0.87
a_0,1.69,2.16,1.4,1.5,,,1.27,1.03,1.11,1.31,0.99,0.71,1.0,0.95,,1.09
h_0,1.6,2.01,1.61,1.86,1.57,1.38,,1.27,1.12,1.05,0.82,1.15,1.05,,0.81,1.08
e_0,,2.31,2.04,1.56,2.1,,1.23,1.13,1.12,1.22,0.86,0.92,,1.24,1.0,0.97
g_0,1.82,2.01,1.97,2.31,1.39,,1.31,,1.02,0.86,1.45,1.15,0.92,0.93,1.03,
