,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.66,1.12,0.95,1.13,0.95,1.04,0.37,0.34,0.47,0.39,0.34,0.39,0.25,0.34,0.33,0.31
e_1,0.76,0.65,1.11,1.31,1.09,1.0,0.55,0.43,0.53,0.51,0.4,0.55,0.33,0.37,0.33,0.43
d_1,1.25,1.24,0.65,0.99,1.02,0.82,0.45,0.46,0.35,0.5,0.4,0.36,0.33,0.32,0.24,0.35
c_1,1.19,0.89,1.31,0.64,1.23,0.97,0.55,0.46,0.47,0.27,0.39,0.37,0.31,0.35,0.3,0.34
b_1,1.51,1.24,1.11,0.74,0.61,1.28,0.59,0.59,0.52,0.45,0.64,0.44,0.39,0.38,0.37,0.37
a_1,1.37,1.46,1.68,1.44,0.8,0.56,0.64,0.54,0.71,0.57,0.61,0.53,0.48,0.76,0.5,0.54
h_1,1.97,1.62,1.73,1.67,1.52,1.46,0.55,0.58,0.77,0.65,0.67,0.52,0.6,0.55,0.56,0.63
c_0,2.18,1.98,1.28,2.45,1.73,1.66,0.92,0.57,0.82,0.98,0.88,0.7,0.6,0.75,0.54,0.61
g_1,1.97,1.82,2.09,2.37,1.72,1.43,0.71,0.62,0.52,0.67,0.67,0.69,0.41,0.69,0.56,0.69
d_0,1.88,1.25,2.61,2.3,2.05,1.75,0.9,0.61,0.97,0.58,0.7,0.73,0.62,0.67,0.58,0.67
b_0,2.05,2.0,1.89,2.59,2.24,1.63,0.92,0.47,0.89,0.73,0.55,0.73,0.6,0.93,0.59,0.66
f_0,3.02,1.85,2.09,2.09,1.81,1.62,1.07,0.69,0.68,0.71,0.71,0.54,0.58,0.78,0.4,0.83
h_0,2.42,2.21,2.25,2.23,1.97,1.74,1.22,0.76,1.22,0.84,0.76,0.84,0.76,0.77,0.7,0.64
a_0,2.58,2.18,2.26,2.77,2.43,1.98,1.31,0.72,0.87,0.82,0.49,0.75,0.71,0.55,0.65,0.86
g_0,2.29,2.33,2.62,2.34,2.31,1.76,0.83,0.9,1.37,0.85,0.82,1.07,0.6,0.88,0.78,0.84
e_0,3.19,3.02,2.19,2.64,2.57,2.01,1.1,0.83,0.92,0.8,0.89,0.5,0.8,0.88,0.57,0.53
