,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.24,0.54,0.47,0.55,0.45,0.36,0.92,0.88,1.1,1.72,0.84,0.93,0.79,1.26,0.32,1.02
f_1,0.95,2.32,0.41,0.49,0.37,0.35,0.8,0.66,0.85,0.92,0.36,0.86,0.85,1.13,0.57,0.96
d_1,0.44,0.49,2.35,0.34,0.44,0.39,0.96,0.87,2.03,0.48,1.04,1.11,0.84,0.93,0.99,1.11
c_1,0.49,0.43,0.47,2.5,0.83,0.33,0.94,0.78,0.24,0.95,1.0,0.68,0.79,0.99,0.74,1.02
b_1,0.47,0.57,0.45,0.48,2.6,0.67,0.92,0.83,0.82,0.87,0.96,0.37,0.51,1.34,0.68,1.01
a_1,0.61,0.51,0.5,0.38,0.38,3.06,0.9,0.8,1.0,1.02,1.02,0.94,0.41,1.45,1.01,1.11
h_1,0.52,0.91,0.6,0.57,0.46,0.41,2.91,1.3,1.13,1.08,0.99,1.35,1.08,0.97,1.05,1.79
g_1,0.56,0.55,0.93,0.65,0.53,0.35,0.82,3.14,1.1,0.96,1.65,1.11,0.92,1.68,0.69,0.96
c_0,0.5,0.7,0.84,0.38,0.36,0.46,1.14,1.01,2.54,1.14,1.23,2.74,1.23,1.74,1.28,1.71
d_0,0.61,0.69,0.33,1.06,0.51,0.3,1.1,1.13,1.02,2.51,1.11,1.21,1.19,1.77,1.09,1.23
f_0,0.49,0.35,0.77,0.69,0.45,0.43,1.16,1.04,1.4,1.5,2.91,1.27,1.07,1.57,2.56,1.59
b_0,0.51,0.71,0.7,0.7,0.22,0.36,1.14,1.09,1.25,1.31,1.46,2.86,2.2,1.64,1.17,1.68
a_0,0.54,0.83,0.73,0.58,0.45,0.17,1.27,1.03,1.2,1.25,1.18,1.16,3.15,1.6,1.02,1.56
h_0,0.59,0.98,0.73,0.46,0.45,0.45,0.64,1.48,1.19,1.05,1.08,1.04,0.9,0.94,0.82,1.76
e_0,0.32,0.74,0.66,0.6,0.65,0.41,1.11,1.0,1.33,1.28,1.32,1.53,1.35,1.68,3.21,1.32
g_0,0.59,0.5,1.08,0.58,0.48,0.34,1.02,0.62,1.16,1.06,1.84,1.35,1.08,1.6,1.14,1.01
