,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.71,0.62,0.56,0.82,0.54,0.59,0.91,0.87,1.69,1.0,1.0,0.88,1.11,1.05,0.41,0.75
f_1,1.08,2.84,0.57,0.59,0.5,0.54,0.8,0.65,0.8,0.82,0.93,0.32,0.76,0.8,0.65,0.89
d_1,0.52,0.66,3.1,0.48,0.55,0.56,1.02,0.94,0.5,1.82,1.18,1.11,0.96,0.94,1.09,1.23
c_1,0.57,0.53,0.66,3.15,1.18,0.48,0.87,0.88,0.82,0.33,0.62,0.8,0.91,0.8,0.95,0.86
b_1,0.58,0.7,0.62,0.54,3.52,1.15,0.77,1.03,0.81,0.54,0.33,0.94,0.66,1.08,0.87,0.97
a_1,0.55,0.66,0.6,0.59,0.64,5.16,0.96,0.97,0.76,0.97,1.01,1.02,0.6,1.13,1.18,0.93
h_1,0.59,1.08,0.77,0.79,0.72,0.59,3.06,1.43,0.92,0.98,1.13,1.18,1.08,0.62,1.24,1.57
g_1,0.72,0.55,1.19,0.84,0.64,0.47,1.12,3.52,1.11,1.05,1.03,1.83,1.17,1.35,1.15,0.61
d_0,0.79,0.7,0.41,1.39,0.72,0.67,1.12,1.02,2.22,0.85,1.1,1.19,1.08,1.14,1.29,1.08
c_0,0.75,0.77,0.88,0.53,0.59,0.65,1.12,1.07,1.21,2.49,2.53,1.62,1.47,1.49,1.3,1.27
b_0,0.83,0.84,0.78,0.75,0.4,0.55,1.14,1.04,1.22,1.26,2.87,1.44,2.64,1.34,1.25,1.13
f_0,0.61,0.4,0.84,0.8,0.61,1.14,0.97,1.02,1.46,1.38,1.17,3.23,1.4,1.55,2.81,1.34
a_0,0.78,0.84,0.81,0.71,0.83,0.32,1.22,1.03,1.06,1.22,1.37,1.53,2.76,1.25,1.71,1.4
h_0,0.73,1.13,0.83,0.84,0.72,0.66,0.62,1.13,1.01,1.01,1.12,1.01,1.0,0.63,1.46,1.63
e_0,0.48,0.86,0.76,0.87,0.67,0.8,1.42,1.14,1.01,1.09,1.2,1.27,1.09,1.15,3.62,1.51
g_0,0.57,0.76,1.42,0.77,0.57,0.56,1.01,0.74,0.94,1.34,1.12,2.07,1.0,1.15,1.43,0.8
