,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.19,0.99,1.82,2.05,1.54,1.93,0.56,0.35,0.54,0.36,0.26,0.29,0.24,2.12,0.34,0.32
f_1,1.67,0.17,1.72,1.77,1.87,1.36,0.32,0.34,0.57,0.28,0.3,0.95,0.17,0.25,0.28,0.26
d_1,2.07,1.89,0.15,1.56,1.73,1.48,0.44,1.77,0.28,0.26,0.3,0.35,0.21,0.35,0.31,0.14
c_1,1.41,1.66,2.11,0.15,1.82,1.77,0.43,0.17,0.5,1.14,0.42,0.43,0.26,0.29,0.3,0.18
b_1,1.62,1.62,1.73,0.94,0.14,2.2,0.42,0.35,0.48,0.45,2.37,0.35,0.36,0.33,0.6,0.22
a_1,1.77,1.77,2.04,1.45,0.83,0.09,0.54,0.47,0.5,0.45,0.49,0.29,0.31,0.46,,0.45
h_1,0.98,0.97,0.85,0.89,0.96,0.85,0.06,0.23,0.35,0.18,0.18,0.17,0.33,0.15,0.18,0.14
d_0,0.45,1.13,2.18,1.27,0.97,0.89,0.26,0.08,0.33,0.26,0.22,0.18,0.12,0.16,0.2,0.13
g_1,0.9,1.16,0.87,0.93,0.89,1.1,0.21,0.2,0.05,0.19,0.2,0.15,0.1,0.19,0.14,0.31
c_0,1.14,1.05,0.43,3.79,1.5,0.64,0.31,0.23,0.26,0.07,0.19,0.18,0.13,0.17,0.2,0.13
b_0,0.83,0.86,0.67,1.06,3.9,0.84,0.26,0.21,0.31,0.11,0.06,0.16,0.13,0.17,0.14,0.18
f_0,0.87,3.27,0.71,0.9,0.8,0.96,0.34,0.16,0.16,0.2,0.19,0.06,0.15,0.15,0.25,0.09
h_0,0.86,0.97,0.85,0.95,0.79,0.98,0.91,0.22,0.27,0.18,0.2,0.2,0.27,0.19,0.15,0.15
e_0,1.64,1.07,0.74,1.35,0.96,0.81,0.32,0.21,0.2,0.17,0.15,0.09,0.12,0.04,0.13,0.12
a_0,0.77,0.86,0.87,0.97,1.29,,0.32,0.19,0.19,0.17,0.08,0.24,0.15,0.19,0.04,0.18
g_0,0.88,1.14,0.97,0.8,0.86,0.76,0.26,0.23,,0.17,0.21,0.17,0.1,0.17,0.19,0.34
