,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,2.42,2.1,1.32,1.49,1.39,1.24,2.5,2.76,3.17,2.93,2.44,3.22,3.66,3.35,2.65,3.93
e_1,1.36,2.44,1.3,1.78,1.64,1.44,2.8,2.94,4.97,3.1,3.69,3.5,4.2,3.55,2.99,4.42
d_1,1.6,1.51,2.48,1.28,1.37,1.26,2.75,2.66,2.9,5.03,3.42,3.69,4.34,3.63,3.62,3.86
c_1,1.44,1.34,1.54,2.64,2.42,1.41,2.77,2.8,2.45,1.93,3.18,2.31,3.5,3.11,3.52,3.59
b_1,1.59,1.38,1.51,1.23,2.83,2.71,3.15,2.96,3.13,2.95,2.88,2.41,4.22,2.6,3.38,3.89
a_1,1.68,1.52,1.7,1.42,1.19,3.39,3.26,3.27,2.62,3.48,3.54,3.98,4.62,2.2,3.2,4.27
h_1,1.97,1.48,1.63,1.61,1.43,1.56,4.23,3.5,3.31,2.63,3.1,2.93,3.35,2.98,3.14,5.43
g_1,1.54,1.43,2.04,1.69,1.39,1.38,2.78,4.41,2.87,3.36,4.24,3.0,3.56,3.78,3.58,3.5
d_0,1.5,1.31,1.09,2.66,1.74,1.88,2.89,3.21,4.29,2.4,3.52,2.85,3.94,3.57,3.12,4.19
c_0,1.76,1.55,1.54,1.58,1.3,1.42,3.48,3.06,3.63,4.49,3.21,6.05,4.28,4.38,3.75,4.64
f_0,1.41,1.28,1.64,1.63,1.77,1.51,3.49,2.86,3.28,3.61,4.66,3.06,4.28,3.06,6.1,4.47
b_0,1.71,1.32,1.67,2.03,1.29,1.13,3.06,2.98,3.62,2.77,3.57,4.74,4.75,6.42,3.75,4.97
h_0,1.93,1.52,1.55,1.55,1.36,1.41,2.65,3.95,3.3,3.16,3.38,3.53,3.69,3.78,3.28,5.08
a_0,1.58,1.42,1.73,1.72,1.84,1.16,3.51,2.9,3.08,3.07,3.36,2.7,4.37,5.18,4.01,4.72
e_0,1.76,1.22,1.63,1.63,1.6,1.78,3.56,2.95,3.77,3.23,3.0,3.67,5.09,3.5,5.13,3.8
g_0,1.48,1.34,1.98,1.63,1.56,1.53,2.62,2.72,2.82,3.82,4.6,3.37,4.07,3.69,4.24,3.88
