,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,16.36,0.61,0.72,0.48,0.44,0.45,0.86,2.02,0.77,0.89,1.08,1.17,0.95,1.03,0.45,0.88
f_1,1.1,16.78,0.48,0.54,0.44,0.41,0.74,0.89,0.82,0.84,0.92,0.4,0.89,0.86,0.65,1.01
c_1,0.47,0.57,18.19,0.49,1.27,0.42,0.84,0.81,0.71,0.2,0.53,0.8,0.88,0.87,0.94,0.93
d_1,0.49,0.53,0.32,21.02,0.57,0.55,0.84,0.36,1.24,2.35,1.25,1.07,1.0,1.17,1.0,0.93
b_1,0.4,0.44,0.54,0.5,22.45,1.46,0.92,0.8,0.84,0.79,0.31,0.86,1.06,0.74,0.99,0.89
a_1,0.47,0.6,0.69,0.55,0.41,33.94,0.99,0.85,0.66,0.82,1.18,0.95,0.89,0.26,1.08,0.99
h_1,0.49,1.15,0.81,0.73,0.61,0.61,5.91,0.8,1.46,0.86,1.08,0.84,0.8,1.02,1.46,1.75
d_0,0.65,0.66,1.95,0.2,0.68,0.74,1.4,3.39,1.0,0.68,1.03,1.12,1.27,0.83,1.17,0.92
g_1,0.63,0.54,0.56,1.61,0.55,0.49,1.04,0.84,7.22,1.19,1.22,2.0,1.05,1.0,1.22,0.65
c_0,1.0,0.77,0.35,0.79,0.44,0.78,1.09,1.15,1.17,3.41,2.65,1.11,1.31,1.48,1.11,1.06
b_0,0.78,0.61,0.89,0.87,0.31,0.46,1.28,1.14,0.99,1.07,3.85,1.34,1.18,2.85,1.49,1.37
f_0,0.55,0.4,0.69,0.7,0.69,0.74,1.33,1.14,1.41,1.51,1.41,4.5,1.48,1.17,3.18,1.4
h_0,0.56,1.34,0.71,0.79,0.51,0.56,0.71,1.06,1.58,1.21,1.24,1.34,0.74,1.19,1.41,1.94
a_0,0.85,0.6,0.73,0.92,0.72,0.15,1.06,1.2,1.08,1.27,1.1,1.1,1.33,4.88,1.52,1.29
e_0,0.26,0.93,0.9,0.66,0.63,0.76,1.67,1.15,1.26,1.36,1.24,1.33,1.69,1.35,5.09,1.41
g_0,0.46,0.69,0.71,1.43,0.59,0.61,0.96,0.86,0.67,1.17,1.39,2.21,1.77,1.48,1.56,0.85
