,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,9.81,1.97,0.63,0.71,0.62,0.5,0.74,1.07,0.86,0.75,0.87,0.52,0.88,1.04,0.54,0.8
e_1,0.8,10.31,0.56,1.0,0.64,0.63,1.04,2.33,0.72,0.9,0.98,0.92,0.98,1.21,0.75,0.93
d_1,0.88,0.63,14.64,0.51,0.54,0.73,0.89,0.46,2.79,0.85,1.49,1.12,1.21,1.02,1.15,1.08
c_1,0.66,0.6,0.62,11.48,1.94,0.76,0.94,0.72,0.6,0.9,0.53,0.93,0.73,0.81,1.07,0.87
b_1,0.56,0.53,0.73,0.68,11.92,2.03,0.98,0.93,0.8,1.04,0.61,0.93,1.04,0.66,0.86,0.92
a_1,0.76,0.59,0.84,0.7,0.68,16.32,1.17,1.01,0.89,1.11,1.13,1.16,1.18,0.57,1.17,1.22
h_1,1.31,0.7,0.94,0.82,0.64,0.66,3.35,0.91,1.03,1.49,0.99,1.05,0.74,1.01,1.1,1.63
d_0,0.81,0.64,0.53,2.68,0.98,0.57,1.03,1.89,0.51,0.98,0.82,1.08,0.93,0.87,1.02,0.93
c_0,0.99,0.82,0.97,0.55,0.56,0.72,1.19,1.09,2.25,1.15,3.55,1.05,1.22,1.52,1.38,1.29
g_1,0.59,0.59,2.25,0.73,0.67,0.67,0.91,0.76,0.99,3.94,1.06,2.09,1.23,1.06,1.6,0.83
b_0,1.05,0.89,1.15,0.8,0.4,0.46,1.13,0.99,1.13,1.29,2.96,1.23,1.2,3.28,1.23,1.21
f_0,0.63,0.56,1.14,0.88,0.87,0.79,1.14,0.92,1.24,1.26,1.33,3.18,1.29,1.11,3.33,1.18
h_0,1.15,0.75,1.03,0.81,0.75,0.68,0.78,0.9,1.07,1.29,1.21,1.15,0.66,1.03,1.06,1.45
a_0,0.7,0.76,1.07,0.92,0.76,0.4,1.07,0.96,1.23,1.28,1.45,1.38,1.26,3.19,1.13,1.48
e_0,0.9,0.44,0.88,0.79,0.95,0.91,1.06,0.71,1.31,1.1,1.46,1.54,1.79,1.16,3.43,1.15
g_0,0.56,0.58,1.86,0.82,0.75,0.67,1.1,0.97,1.15,0.96,1.09,2.64,1.11,1.35,1.34,0.97
