,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,8620.73,5687.89,3693.6,4437.76,6235.73,40586.85,4283830.25,7645782.47,10075700.78,18842875.77,31989139.83,13280678.51,59496352.1,91785551.78,226341345.2,143623124.36
e_1,2515.91,11933.63,4690.86,4045.13,8986.79,38265.87,4412823.1,7243423.01,19959328.71,22600841.48,32875602.0,33728254.83,69155659.8,103991335.68,226672322.92,154609516.82
c_1,2165.49,2772.15,15842.18,4227.98,18115.74,37133.96,4220484.06,8052774.98,10691578.89,8261560.44,20547421.44,31374398.82,68351320.87,77452004.45,220304335.24,245121762.9
d_1,2684.32,2839.07,2990.06,20255.03,7713.06,43830.65,4637003.81,8905760.6,4864705.83,39761757.21,39793175.83,41484179.65,63233317.02,109096312.87,311550887.13,257961240.99
b_1,2431.13,2320.44,4311.87,4517.79,45445.02,81799.22,4501060.54,8369199.74,11140893.85,18460774.28,13974462.5,30998431.28,73907389.37,57673426.99,264270389.62,204771480.44
a_1,2930.88,2945.96,4084.27,4180.07,9010.08,312247.56,4224078.19,8308282.84,11535896.18,20596496.51,27463335.58,26333523.61,76525964.2,39614958.51,214320148.86,158212420.94
h_1,4198.17,3607.73,3890.26,6493.04,8821.26,48563.02,12991039.31,11805806.4,11725905.43,24226857.42,42745896.89,29807528.64,52759545.93,111201039.35,403519655.57,227047777.46
g_1,2542.63,3021.32,4349.13,9658.62,9268.83,45759.67,4853307.19,29415229.68,12374259.73,25972361.87,43945309.06,58616057.34,83777213.98,133216245.99,203033354.96,356568715.62
d_0,2834.33,3205.29,9375.68,3624.84,11235.81,34097.99,5610149.52,10636672.89,24403120.3,17410227.02,39635518.81,45273900.54,90088936.21,134391683.45,286289245.07,323077280.43
c_0,3151.73,3709.29,3314.6,6815.08,6497.5,56806.03,4592451.16,11308196.02,15848402.87,50178668.67,88883304.49,43750847.88,102735229.47,155168479.91,387553822.68,337403825.56
b_0,3083.75,3769.57,4329.8,7537.9,4981.25,46203.4,5284712.28,12179687.83,11996379.11,26792541.72,88984885.41,42284972.48,91424569.92,254521392.33,322576933.35,340809258.81
f_0,2112.66,2828.64,5191.08,7262.47,10452.73,37043.73,5424452.26,12095213.32,14850032.84,31558522.7,49527460.26,97465634.13,104448869.74,149160000.31,371334518.0,718661198.74
h_0,3862.73,3322.01,4930.98,6939.9,10383.97,43193.34,3427064.2,14115290.71,12233758.68,23492416.54,43346847.45,34540694.72,54716866.75,125052804.17,376684866.47,312069998.62
a_0,2955.9,3934.84,5447.26,6710.8,9334.81,30245.37,5477452.72,11894129.15,11608769.77,19877259.75,49786926.75,51182464.45,78747045.56,323650794.49,303917135.45,367123834.62
g_0,2666.06,3275.51,4094.28,10036.05,8866.43,42148.17,5063881.36,8156426.28,9943120.89,24997364.21,49479883.45,68200641.41,81901466.12,126147813.2,191570507.7,352458413.42
e_0,2983.5,1531.75,5278.2,5950.97,14922.88,54115.03,5010659.86,9573816.94,14073017.09,25403145.21,51920211.78,49277714.87,100696260.77,109367845.0,333207850.49,939606198.11
