,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.67,1.45,1.14,1.27,1.11,1.07,0.43,0.44,0.54,0.45,0.64,0.46,0.3,0.46,0.34,0.47
e_1,0.84,0.66,1.63,1.22,1.32,1.32,0.62,0.6,0.63,0.45,0.57,0.46,0.45,0.6,0.57,0.37
c_1,1.55,1.07,0.64,1.62,1.63,1.02,0.54,0.32,0.61,0.55,0.44,0.41,0.4,0.4,0.4,0.39
d_1,1.41,1.57,1.25,0.64,1.35,1.13,0.66,0.8,0.42,0.55,0.48,0.57,0.42,0.48,0.43,0.27
b_1,1.65,1.56,0.85,1.48,0.61,1.73,0.69,0.57,0.72,0.58,0.51,0.72,0.45,0.46,0.54,0.4
a_1,1.89,1.57,1.76,1.79,0.88,0.58,0.81,0.69,0.73,0.71,0.57,0.63,0.49,0.56,0.84,0.49
h_1,2.29,1.99,2.25,1.91,1.89,1.72,0.57,0.66,0.95,0.68,0.67,0.76,0.61,0.55,0.67,0.57
d_0,2.3,1.36,2.88,2.96,2.03,1.73,1.09,0.62,1.1,0.81,0.86,0.89,0.66,0.65,0.73,0.91
g_1,2.43,2.12,2.28,2.16,2.03,2.28,0.73,0.82,0.54,0.66,0.88,0.71,0.5,0.71,0.77,0.7
c_0,2.41,2.31,3.84,1.33,2.35,2.01,1.07,0.94,1.07,0.6,0.78,1.05,0.76,0.76,0.92,0.66
f_0,3.44,2.03,2.47,1.97,2.4,2.07,1.2,0.81,0.71,0.82,0.59,0.84,0.73,0.94,0.82,0.48
b_0,2.56,2.27,3.21,1.88,3.52,2.34,1.02,0.87,1.02,0.5,0.79,0.57,0.63,0.69,0.9,0.67
h_0,2.93,2.29,2.59,2.44,2.26,2.12,1.61,0.98,1.29,0.87,0.81,0.9,0.89,0.73,0.81,0.76
e_0,3.46,3.03,3.22,2.43,2.71,2.38,1.5,1.16,1.12,0.82,0.56,0.91,0.86,0.55,0.95,0.71
a_0,3.49,2.67,3.03,2.68,2.66,2.66,1.38,1.05,1.06,0.82,1.04,0.61,0.81,0.78,0.54,0.88
g_0,2.83,3.03,2.64,3.08,2.53,2.45,1.0,0.91,1.6,1.05,1.0,0.95,0.68,0.8,0.87,0.91
