,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,11210.36,4769.62,3796.47,7120.22,13069.73,56814.72,6103268.55,10897131.14,10298916.36,32746299.97,29822124.13,53808029.53,166143341.06,159415678.66,386369834.55,322302170.13
f_1,3785.98,12475.75,7726.35,9315.99,10840.32,41226.11,5620612.98,9953608.0,14853414.22,16319761.95,22227487.41,26234856.08,163328981.22,128960547.78,367356945.0,171092225.97
e_1,3525.96,4753.2,12675.0,11098.36,14079.69,52705.5,6062632.88,9945199.72,27274587.03,17750751.54,26258895.92,47015843.63,138877280.12,130482764.2,329890452.43,185640845.9
c_1,3894.7,4059.11,4144.33,31297.92,24296.94,43333.98,5863437.55,11056601.39,13801157.66,8215959.48,15715084.19,55137315.12,166362800.85,132146213.54,325624872.66,259927801.56
b_1,4070.22,4446.12,4458.06,10050.05,45006.86,104938.61,4648297.88,8075321.28,14270094.77,15507135.6,14706101.61,48692345.94,139461029.73,114923689.68,370639764.95,278386135.12
a_1,4605.23,4340.2,4217.56,10426.55,13004.7,255423.11,6349639.02,10954341.64,14971172.44,16795252.9,26271624.8,49273885.46,167780656.34,94731283.28,397337898.33,312695112.95
h_1,4842.36,6673.93,4880.95,11228.07,12206.83,47575.4,12330330.95,15075883.62,14432452.61,18421646.64,21424286.35,45655297.78,121195250.75,145583506.34,440197004.6,314475468.15
g_1,6760.76,4749.48,4316.34,10125.9,13198.72,45379.28,5943672.03,25530647.04,14567186.62,20454510.13,25028383.31,77473724.59,162608646.88,137104568.64,247009633.79,387436257.01
d_0,3225.28,5137.08,4892.42,20480.07,13923.26,46944.65,6650974.34,10671195.7,26282698.73,14527965.34,26122919.03,42826799.01,167295243.45,122056219.49,345243633.67,334915564.6
c_0,5230.99,5806.06,4703.39,7604.65,11230.28,57420.85,7587998.72,11309329.83,17313468.52,30567198.74,50145592.45,53367341.33,191465694.04,190749970.44,376393789.54,411412350.66
b_0,5485.89,5752.43,4775.08,10829.95,8381.63,52831.82,7252469.36,11352719.97,15340270.56,18082606.71,45179756.86,52781978.41,185707510.49,284031358.42,452618741.62,304399018.42
f_0,5198.71,4071.63,4339.92,10034.76,13263.35,64447.72,6702396.74,11348765.69,17872492.74,21420637.06,28955201.92,103905160.47,167812360.92,168700111.0,415410704.47,733563465.25
h_0,5255.18,7112.4,5195.06,9645.03,12161.77,50385.98,3824289.34,14236715.95,14817578.32,17464107.87,29816452.68,54722354.59,145081359.71,155156544.56,513832230.49,274366447.47
a_0,4787.23,5876.65,4753.24,11534.75,13816.57,29036.89,7004760.51,11464569.43,19751542.94,21104649.4,31209199.67,51109194.19,202103132.68,321794474.03,416673350.99,314384342.25
g_0,6724.95,4479.05,4487.76,10436.73,13321.88,54376.43,5627951.3,8365940.29,14567396.37,20198430.53,28526460.45,83592364.71,169979173.89,163390839.81,334901612.87,355977961.24
e_0,5289.92,5773.56,4048.05,10244.62,15072.22,57170.9,6939631.47,12372714.48,15172065.84,17591146.73,31492090.08,55867667.02,204259282.75,166735096.77,364240292.94,691694579.75
