,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,34.12,0.06,0.04,0.05,0.05,0.07,0.26,0.7,0.25,0.48,0.52,0.36,0.41,0.67,0.55,
f_1,0.12,34.7,0.07,0.07,0.07,0.06,0.35,0.32,0.26,0.45,0.29,,0.32,0.62,0.54,0.21
d_1,0.06,0.07,39.83,0.06,0.06,0.08,0.34,,0.29,0.7,0.35,0.41,0.38,0.49,0.47,0.43
c_1,0.09,0.07,0.08,43.26,0.13,0.06,0.25,0.41,0.35,,0.32,0.34,0.35,0.52,0.28,0.34
b_1,0.07,0.05,0.07,0.07,57.91,0.1,0.38,0.28,0.33,0.24,,0.4,0.32,0.67,0.42,0.6
a_1,0.04,0.05,0.05,0.07,0.06,75.37,0.31,0.43,0.33,0.31,0.27,0.32,,1.0,0.95,
h_1,0.24,0.29,0.31,0.23,0.29,0.28,25.55,1.04,1.5,1.75,1.45,1.46,1.71,,2.02,1.96
d_0,0.27,0.32,,0.8,0.49,0.33,1.45,17.35,1.6,1.89,1.79,1.6,1.58,3.21,2.59,1.98
g_1,0.2,0.29,0.47,0.23,0.23,0.26,0.99,1.03,36.27,1.37,1.56,2.58,,1.48,,1.68
c_0,0.4,0.3,0.28,,0.41,0.4,1.15,2.4,1.31,18.47,2.84,2.53,1.32,3.9,3.9,1.57
b_0,0.35,0.45,0.37,0.31,,0.28,1.56,1.67,1.22,1.98,21.99,1.59,3.39,2.74,2.74,1.71
f_0,0.32,,0.39,0.39,0.35,0.46,1.47,1.74,0.87,1.76,1.5,21.84,2.96,3.1,3.38,3.79
a_0,0.29,0.29,0.27,0.36,,,1.8,2.76,0.96,1.71,1.65,1.66,29.03,3.32,3.79,2.75
h_0,0.43,0.87,0.51,0.47,0.25,0.8,,3.6,3.31,2.76,3.01,2.31,2.87,,6.16,3.24
g_0,0.49,0.43,0.93,0.52,0.66,0.35,2.56,2.23,,2.08,4.37,5.24,1.84,4.0,,2.2
e_0,,0.56,0.38,0.37,0.36,,1.27,2.65,1.15,2.29,1.47,1.85,,2.72,4.55,29.29
