,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.44,0.71,1.12,1.23,1.26,1.11,0.33,0.27,0.37,0.21,0.24,0.29,0.28,0.17,0.19,0.36
f_1,1.01,0.44,1.02,1.16,1.28,1.03,0.24,0.23,0.43,0.23,0.21,0.33,0.22,0.12,0.18,0.18
d_1,1.47,1.32,0.41,1.17,1.11,1.1,0.29,0.39,0.21,0.25,0.24,0.22,0.21,0.16,0.11,0.21
c_1,0.98,1.28,1.64,0.4,1.27,1.12,0.4,0.15,0.35,0.31,0.23,0.23,0.22,0.18,0.17,0.23
b_1,1.5,1.64,1.54,0.77,0.36,1.61,0.43,0.29,0.45,0.41,0.53,0.35,0.29,0.27,0.23,0.25
a_1,1.59,1.92,1.69,1.61,0.78,0.32,0.53,0.39,0.49,0.35,0.53,0.37,0.69,0.23,0.31,0.36
h_1,2.11,2.09,1.93,2.02,1.93,1.67,0.32,0.47,0.59,0.4,0.41,0.44,0.43,0.35,0.31,0.4
d_0,1.42,2.3,3.39,2.75,2.93,2.47,0.81,0.34,0.8,0.44,0.49,0.53,0.49,0.32,0.37,0.51
g_1,2.38,2.38,2.7,2.42,2.28,2.11,0.58,0.53,0.27,0.56,0.51,0.54,0.46,0.26,0.57,0.48
c_0,2.86,2.49,1.43,4.06,2.82,2.25,0.78,0.89,0.72,0.33,0.58,0.57,0.55,0.43,0.4,0.47
b_0,2.36,2.89,2.1,3.37,4.12,2.22,0.8,0.64,0.67,0.3,0.32,0.5,0.56,0.42,0.34,0.52
f_0,2.65,4.27,2.37,2.64,2.36,2.17,0.79,0.57,0.42,0.52,0.52,0.29,0.51,0.38,0.25,0.53
a_0,2.76,3.06,2.45,3.52,3.96,4.76,0.88,0.67,0.68,0.52,0.33,0.52,0.28,0.42,0.36,0.61
h_0,2.69,2.91,2.74,3.27,2.96,2.71,1.1,0.69,0.97,0.59,0.63,0.59,0.61,0.65,0.43,0.55
g_0,3.09,3.82,2.94,3.81,3.13,2.3,0.77,0.73,1.1,0.55,0.61,0.57,0.71,0.32,0.55,0.56
e_0,4.08,4.38,3.05,3.0,2.98,3.13,0.85,0.71,0.69,0.65,0.59,0.34,0.56,0.47,0.4,0.3
