,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,24.51,0.34,0.24,0.27,0.37,0.46,0.66,0.66,0.23,1.62,0.89,0.91,1.03,0.86,0.91,0.9
f_1,0.28,24.8,0.67,0.36,0.29,0.28,0.69,0.7,0.73,0.71,0.72,0.21,0.93,0.76,1.03,0.44
e_1,0.32,0.34,25.08,0.36,0.36,0.38,0.74,0.59,1.44,0.78,0.84,0.78,0.71,0.79,0.75,0.19
c_1,0.3,0.28,0.31,30.99,0.66,0.32,0.89,0.84,0.85,0.13,0.52,0.88,0.83,0.69,0.77,0.91
b_1,0.4,0.31,0.34,0.36,32.21,0.63,0.59,0.67,0.72,0.64,0.18,0.95,0.78,0.76,0.93,0.83
a_1,0.35,0.34,0.32,0.32,0.31,48.49,0.83,0.87,0.77,0.79,0.87,0.88,0.71,0.18,0.86,0.76
h_1,0.64,1.05,0.51,0.63,0.61,0.52,9.61,2.16,1.27,1.14,1.21,1.24,0.64,1.59,1.84,1.52
g_1,1.19,0.5,0.5,0.79,0.61,0.36,1.0,11.37,1.18,1.46,1.45,1.86,1.48,1.38,0.26,1.44
d_0,0.24,0.71,0.66,1.4,0.6,0.53,1.5,1.12,5.49,1.12,1.72,1.37,1.7,1.21,1.45,2.23
c_0,0.63,0.76,0.6,0.32,0.65,0.78,1.54,1.23,1.68,5.14,3.76,1.65,2.28,1.89,1.23,2.16
b_0,0.8,0.9,0.55,0.79,0.21,0.53,1.59,1.39,1.44,1.69,6.62,1.29,2.06,3.18,1.91,1.25
f_0,0.87,0.28,0.53,0.56,0.66,0.67,1.71,1.27,1.78,1.71,1.69,7.11,1.46,2.0,1.74,5.03
h_0,0.69,1.29,0.57,0.47,0.64,0.57,0.48,1.46,1.24,1.53,1.48,1.48,0.57,1.47,1.99,1.19
a_0,0.54,0.84,0.81,0.8,0.42,,1.18,1.13,2.15,1.88,1.81,1.68,1.99,7.86,1.82,1.16
g_0,1.15,0.48,0.68,0.66,0.49,0.45,1.17,0.63,1.2,1.35,1.64,2.48,1.39,1.47,0.62,1.73
e_0,0.92,0.82,0.28,0.73,0.75,0.49,1.54,1.22,1.29,1.45,2.23,1.55,2.69,1.14,1.86,10.08
