,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.06,2.42,2.51,2.25,2.16,1.62,0.75,0.57,0.77,1.15,0.73,0.56,0.68,0.48,0.6,0.41
f_1,2.08,1.06,2.4,2.47,1.98,1.8,0.68,0.97,0.59,0.65,0.59,0.91,0.5,0.41,0.42,0.52
e_1,2.42,1.58,1.06,2.84,2.38,2.22,1.06,0.82,0.77,0.91,0.86,0.73,0.66,0.49,0.93,0.56
c_1,2.85,2.44,1.9,1.06,2.72,1.92,1.11,0.94,0.98,0.42,0.69,0.74,0.65,0.66,0.68,0.48
b_1,3.2,3.01,2.64,1.56,1.06,2.77,1.06,1.02,0.8,0.94,1.11,0.74,0.63,0.63,0.79,0.69
a_1,4.16,3.67,3.9,4.13,2.12,1.07,1.53,1.62,1.28,1.05,1.17,1.12,1.68,0.98,0.96,0.81
h_1,5.38,7.13,5.39,5.26,6.1,5.16,1.32,2.43,1.59,1.76,1.63,1.6,1.55,1.91,1.43,1.33
g_1,7.63,6.51,7.56,7.16,6.41,4.7,2.04,1.35,1.98,2.35,1.97,2.23,1.79,1.16,1.81,2.07
c_0,4.24,9.19,6.68,11.38,8.57,5.62,2.99,2.55,1.53,2.7,2.44,2.03,2.09,1.44,1.86,1.45
d_0,10.76,8.27,4.42,8.91,6.58,7.6,3.24,3.04,1.99,1.53,2.05,2.3,1.86,1.56,2.1,1.67
b_0,6.94,9.17,6.92,8.39,11.35,7.18,2.95,2.96,1.54,2.42,1.51,2.35,2.76,2.12,2.44,1.93
f_0,8.14,12.46,7.57,8.04,8.21,6.46,2.92,2.02,2.27,2.33,2.04,1.55,2.09,2.19,2.29,1.33
a_0,8.71,10.44,10.08,10.18,11.92,15.22,4.01,3.85,2.51,2.96,1.67,2.91,1.61,2.17,2.09,2.23
h_0,10.29,10.58,11.18,9.0,8.4,6.86,4.72,4.65,3.21,3.15,2.6,2.68,2.42,3.1,2.4,2.51
e_0,9.59,15.89,13.22,10.87,10.13,9.27,3.67,3.32,3.05,3.16,2.53,1.95,3.09,2.29,1.63,2.06
g_0,10.66,12.13,10.1,11.56,9.85,10.81,3.32,6.54,3.47,2.92,2.46,3.14,2.81,2.04,2.56,2.69
