,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.67,0.92,1.36,1.54,1.44,1.35,0.73,0.67,0.73,0.49,0.53,0.62,0.42,0.5,0.52,0.8
f_1,1.51,0.67,1.22,1.51,1.17,1.35,0.44,0.65,0.51,0.45,0.47,0.76,0.31,0.45,0.35,0.43
d_1,1.54,1.63,0.64,1.47,1.27,1.22,0.69,0.47,0.95,0.63,0.49,0.52,0.42,0.5,0.3,0.47
c_1,1.27,1.57,1.59,0.64,1.9,1.23,0.67,0.63,0.34,0.7,0.43,0.47,0.42,0.43,0.43,0.48
b_1,1.61,1.8,1.83,0.88,0.62,1.74,0.76,0.79,0.52,0.71,1.1,0.58,0.48,0.6,0.49,0.51
a_1,1.99,1.83,1.71,2.2,1.08,0.56,1.08,0.86,0.73,0.73,0.92,0.69,0.6,0.91,0.57,0.59
h_1,2.0,2.6,2.09,2.1,2.17,1.79,0.58,0.96,0.78,0.76,0.71,0.74,0.96,0.79,0.69,0.59
g_1,2.33,2.3,2.51,2.22,2.34,2.2,0.84,0.55,0.97,0.77,0.78,0.84,0.58,0.83,0.82,0.73
d_0,1.43,2.67,2.96,2.77,2.75,2.08,1.02,1.16,0.64,0.78,0.86,0.76,0.86,0.76,0.91,0.67
c_0,2.37,2.67,1.56,3.64,2.07,1.88,1.18,1.46,1.06,0.61,1.23,0.81,0.83,0.81,0.78,0.86
b_0,2.47,2.41,2.37,4.24,3.79,1.99,1.08,1.11,0.89,0.51,0.59,0.83,0.72,1.0,0.59,0.73
f_0,2.32,4.05,2.32,2.41,2.3,2.01,1.32,0.82,1.1,1.07,0.91,0.58,0.75,0.98,0.59,0.91
h_0,3.08,2.98,2.57,2.75,2.48,2.23,1.5,1.3,0.89,0.87,1.05,0.86,1.14,0.84,0.9,0.75
a_0,2.84,3.09,2.76,3.21,3.0,3.85,1.18,1.23,1.05,1.08,0.64,0.99,0.93,0.56,0.77,0.85
g_0,2.76,3.52,3.28,3.16,3.08,2.51,1.09,1.5,1.06,0.98,1.02,1.04,0.61,1.06,0.93,0.8
e_0,3.49,3.95,3.3,2.75,3.0,2.84,1.67,1.28,1.19,0.98,1.22,0.66,1.04,1.25,0.72,0.56
