,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.9,0.26,0.17,0.25,0.13,0.13,0.19,0.41,0.15,0.18,0.21,0.18,0.15,0.22,0.18,0.08
f_1,0.42,0.9,0.19,0.19,0.14,0.1,0.22,0.18,0.14,0.19,0.14,0.06,0.12,0.17,0.13,0.07
d_1,0.25,0.27,0.9,0.14,0.15,0.11,0.22,0.1,0.14,0.34,0.19,0.18,0.14,0.19,0.19,0.14
c_1,0.22,0.24,0.22,0.89,0.29,0.11,0.2,0.18,0.16,0.07,0.14,0.15,0.11,0.15,0.12,0.12
b_1,0.21,0.22,0.24,0.19,0.89,0.25,0.21,0.16,0.14,0.14,0.06,0.18,0.11,0.19,0.14,0.14
a_1,0.24,0.25,0.24,0.21,0.13,0.88,0.22,0.2,0.14,0.21,0.18,0.19,0.05,0.21,0.24,0.12
h_1,0.29,0.4,0.29,0.23,0.19,0.13,0.58,0.21,0.21,0.21,0.18,0.19,0.14,0.14,0.24,0.15
d_0,0.25,0.31,0.16,0.48,0.2,0.14,0.24,0.44,0.18,0.15,0.21,0.2,0.16,0.22,0.2,0.14
g_1,0.25,0.2,0.43,0.25,0.17,0.13,0.24,0.2,0.57,0.24,0.22,0.35,0.17,0.17,0.14,0.17
c_0,0.35,0.3,0.26,0.19,0.15,0.16,0.25,0.3,0.17,0.43,0.38,0.23,0.16,0.26,0.28,0.14
b_0,0.29,0.36,0.28,0.3,0.09,0.09,0.26,0.27,0.19,0.21,0.44,0.22,0.35,0.2,0.23,0.15
f_0,0.24,0.18,0.32,0.29,0.2,0.15,0.28,0.26,0.2,0.22,0.22,0.47,0.19,0.25,0.24,0.34
a_0,0.27,0.32,0.34,0.33,0.2,0.06,0.27,0.27,0.18,0.2,0.21,0.2,0.42,0.24,0.2,0.16
h_0,0.28,0.42,0.28,0.24,0.15,0.16,0.18,0.27,0.25,0.19,0.2,0.19,0.18,0.14,0.28,0.12
g_0,0.27,0.27,0.43,0.26,0.17,0.11,0.27,0.23,0.1,0.2,0.24,0.32,0.19,0.24,0.15,0.14
e_0,0.15,0.37,0.3,0.27,0.23,0.14,0.27,0.24,0.2,0.23,0.22,0.21,0.16,0.26,0.21,0.38
