,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.39,1.15,1.24,1.45,3.68,15.83,21.96,33.69,29.26,39.21,41.62,65.44,74.7,90.31,113.45
e_1,0.72,1.0,1.08,1.36,1.4,3.33,20.27,26.19,32.29,48.04,41.21,43.59,87.12,75.58,100.07,115.33
d_1,0.87,0.92,1.0,0.85,1.22,2.65,16.2,29.98,19.13,43.68,36.54,40.99,62.03,71.17,97.51,68.16
c_1,0.8,0.74,1.18,1.0,1.48,2.01,13.96,15.49,24.61,19.78,32.37,34.4,61.75,59.25,67.0,82.28
b_1,0.69,0.71,0.82,0.67,1.0,3.75,12.69,18.25,26.62,23.96,31.06,27.97,56.08,52.21,70.37,84.68
a_1,0.27,0.3,0.38,0.5,0.27,1.0,6.49,10.39,10.94,10.8,15.61,11.43,26.38,35.69,34.02,31.87
h_1,0.06,0.05,0.06,0.07,0.08,0.16,1.0,1.26,1.76,2.0,2.69,2.2,3.55,4.07,4.14,5.85
c_0,0.05,0.04,0.04,0.07,0.05,0.1,0.8,1.0,0.99,1.36,2.32,1.63,2.43,3.3,4.35,3.73
g_1,0.03,0.03,0.05,0.04,0.04,0.09,0.57,1.01,1.0,1.13,1.09,1.72,2.13,3.15,2.92,4.56
d_0,0.03,0.02,0.02,0.05,0.04,0.09,0.5,0.68,0.88,1.0,1.06,0.91,1.77,2.18,2.22,2.98
b_0,0.03,0.02,0.03,0.03,0.03,0.06,0.35,0.44,0.88,0.87,1.0,1.04,1.79,3.06,2.52,3.46
f_0,0.03,0.02,0.03,0.03,0.04,0.09,0.46,0.59,0.58,1.0,1.01,1.0,1.84,1.94,3.7,1.85
h_0,0.02,0.01,0.02,0.02,0.02,0.04,0.26,0.39,0.48,0.55,0.61,0.52,1.0,1.28,1.39,1.98
a_0,0.01,0.01,0.01,0.02,0.02,,0.24,0.3,0.34,0.42,0.34,0.5,0.76,1.0,1.19,1.38
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.21,0.24,0.35,0.43,0.43,0.25,0.7,0.8,1.0,1.37
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.26,,0.31,0.3,0.52,0.5,0.78,0.76,1.0
