,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.42,0.56,0.76,0.89,0.96,0.77,0.42,0.47,0.49,0.36,0.41,0.51,0.33,0.31,0.62,0.34
f_1,0.85,0.41,0.8,0.83,0.75,0.69,0.32,0.37,0.51,0.34,0.3,0.49,0.41,0.24,0.33,0.33
d_1,0.96,0.81,0.39,0.79,0.7,0.88,0.45,0.54,0.32,0.4,0.41,0.31,0.38,0.3,0.33,0.23
c_1,0.69,0.86,0.99,0.39,0.9,0.71,0.48,0.23,0.41,0.42,0.33,0.33,0.33,0.33,0.35,0.32
b_1,0.76,0.96,0.92,0.52,0.36,0.96,0.45,0.39,0.47,0.48,0.52,0.39,0.36,0.34,0.37,0.27
a_1,0.83,0.98,0.85,0.81,0.49,0.3,0.5,0.37,0.51,0.42,0.45,0.37,0.51,0.36,0.31,0.38
h_1,0.73,0.82,0.69,0.71,0.78,0.63,0.25,0.33,0.37,0.3,0.29,0.28,0.3,0.36,0.28,0.29
d_0,0.43,0.75,0.99,0.94,0.77,0.86,0.42,0.25,0.42,0.28,0.31,0.3,0.36,0.31,0.35,0.31
g_1,0.63,0.66,0.75,0.83,0.77,0.71,0.38,0.31,0.22,0.33,0.28,0.37,0.37,0.21,0.32,0.36
c_0,0.76,0.74,0.46,1.23,0.72,0.68,0.45,0.44,0.36,0.24,0.41,0.32,0.38,0.27,0.3,0.33
b_0,0.62,0.8,0.62,0.94,1.12,0.61,0.42,0.31,0.38,0.19,0.23,0.3,0.45,0.3,0.29,0.27
f_0,0.58,1.39,0.7,0.74,0.73,0.63,0.44,0.32,0.28,0.31,0.32,0.22,0.32,0.27,0.39,0.2
a_0,0.82,0.67,0.62,0.77,0.94,1.07,0.41,0.34,0.35,0.28,0.18,0.31,0.2,0.29,0.32,0.27
h_0,0.71,0.76,0.69,0.71,0.7,0.65,0.46,0.32,0.38,0.3,0.32,0.31,0.32,0.33,0.26,0.29
e_0,0.87,0.97,0.59,0.83,0.64,0.69,0.4,0.36,0.35,0.34,0.36,0.18,0.3,0.3,0.2,0.26
g_0,0.65,0.84,0.72,0.64,0.85,0.72,0.32,0.37,0.41,0.31,0.32,0.32,0.35,0.22,0.31,0.34
