,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.46,0.67,0.59,0.87,0.6,0.62,0.9,0.88,1.67,0.96,0.98,0.89,1.12,1.06,0.46,0.77
f_1,1.13,2.59,0.63,0.61,0.53,0.56,0.83,0.66,0.81,0.85,0.94,0.39,0.77,0.79,0.67,0.86
d_1,0.56,0.68,2.84,0.52,0.6,0.61,1.01,0.99,0.55,1.8,1.2,1.09,0.96,0.94,1.06,1.19
c_1,0.61,0.61,0.68,2.86,1.23,0.55,0.89,0.85,0.8,0.37,0.64,0.83,0.89,0.84,0.94,0.85
b_1,0.61,0.73,0.65,0.6,3.19,1.22,0.8,0.98,0.82,0.6,0.41,0.94,0.63,1.08,0.85,0.96
a_1,0.62,0.71,0.62,0.64,0.67,4.65,0.95,0.98,0.77,0.97,1.01,0.96,0.67,1.1,1.2,0.98
h_1,0.68,1.12,0.84,0.82,0.72,0.61,2.7,1.55,0.9,0.99,1.11,1.19,1.11,0.67,1.2,1.67
g_1,0.74,0.62,1.23,0.87,0.73,0.6,1.11,3.15,1.15,1.03,1.04,1.81,1.1,1.28,1.22,0.69
d_0,0.83,0.74,0.53,1.5,0.77,0.69,1.11,1.09,2.03,0.82,1.04,1.17,1.13,1.13,1.34,1.08
c_0,0.84,0.79,0.87,0.59,0.65,0.69,1.15,1.12,1.22,2.33,2.5,1.58,1.57,1.43,1.29,1.32
b_0,0.83,0.85,0.84,0.89,0.47,0.57,1.12,1.11,1.2,1.18,2.61,1.36,2.63,1.32,1.28,1.16
f_0,0.66,0.47,0.87,0.83,0.63,1.12,1.05,1.12,1.42,1.36,1.12,2.91,1.45,1.44,3.0,1.37
a_0,0.81,0.93,0.86,0.76,0.88,0.42,1.28,0.96,1.16,1.16,1.27,1.44,2.52,1.28,1.56,1.31
h_0,0.72,1.16,0.9,0.87,0.71,0.75,0.7,1.12,1.0,0.98,1.13,1.05,0.95,0.74,1.44,1.58
e_0,0.57,0.97,0.88,0.89,0.73,0.79,1.47,1.09,1.0,1.05,1.19,1.35,1.12,1.24,3.14,1.46
g_0,0.59,0.79,1.46,0.81,0.63,0.66,1.04,0.88,0.89,1.24,1.06,2.0,0.99,1.11,1.44,0.83
