,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.14,9.72,11.45,10.87,13.51,10.52,2.22,3.72,2.43,1.92,1.92,6.58,1.93,0.95,1.91,2.05
e_1,6.34,1.14,13.13,9.81,11.93,10.52,3.54,3.38,2.63,2.38,2.42,2.78,2.3,1.85,1.58,8.15
d_1,10.7,14.5,1.14,12.47,11.53,10.26,3.54,1.7,8.81,2.36,2.58,2.42,2.35,1.99,1.11,2.72
c_1,10.9,13.62,14.59,1.14,12.41,14.17,3.29,3.22,1.31,8.73,2.37,2.21,2.46,1.66,1.88,2.02
b_1,14.15,15.37,15.95,7.73,1.15,15.43,5.01,5.07,3.36,3.55,8.75,2.85,3.55,2.21,2.26,3.2
a_1,24.37,22.76,16.33,22.5,9.27,1.15,6.42,7.39,4.1,4.79,4.15,3.48,30.21,3.98,2.57,4.41
h_1,32.5,24.3,27.09,32.49,26.89,21.04,1.89,8.72,5.3,5.87,5.05,4.68,5.96,13.93,4.09,5.72
g_1,39.64,32.69,30.75,39.23,35.62,29.76,7.61,1.92,7.09,6.09,6.67,6.16,6.04,3.57,13.62,7.95
d_0,41.94,17.12,97.51,40.72,30.82,36.54,8.22,15.11,2.76,7.88,6.59,5.87,6.61,6.33,4.36,5.62
c_0,48.09,29.97,16.33,134.04,43.54,30.19,8.39,11.72,7.76,2.58,9.33,6.96,7.69,5.16,5.19,5.09
b_0,40.53,30.47,29.94,50.27,119.26,42.51,13.05,12.59,8.93,4.11,2.77,7.27,9.61,6.24,7.79,6.39
f_0,106.09,35.96,43.2,42.33,34.29,67.19,12.45,9.58,8.15,8.07,10.98,2.83,9.61,6.74,4.36,13.58
a_0,60.12,42.81,50.94,52.74,74.14,,19.12,18.38,9.59,8.28,5.33,9.55,2.68,6.43,6.67,9.06
h_0,57.25,52.12,40.63,54.53,58.36,54.82,39.14,18.89,11.05,10.59,9.33,10.59,10.32,14.41,9.34,10.87
g_0,65.58,63.09,66.92,74.81,72.18,71.83,14.42,40.0,14.49,15.02,12.44,12.82,14.1,7.21,23.36,11.24
e_0,112.72,124.0,50.19,69.93,62.34,69.43,16.12,17.89,11.44,13.46,11.43,5.24,16.92,9.95,8.17,2.76
