,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.13,5.06,6.58,4.54,5.66,4.08,1.64,1.75,0.59,2.01,1.19,1.12,0.84,1.01,0.92,0.75
f_1,5.29,1.13,4.82,5.19,5.04,5.07,1.06,1.87,1.15,1.02,2.32,0.91,0.58,0.92,0.95,0.97
d_1,6.57,4.69,1.12,6.8,6.23,5.95,1.46,0.93,2.76,0.93,0.87,1.02,0.78,1.15,0.84,0.47
e_1,5.75,3.18,7.11,1.13,5.66,6.95,1.79,1.8,1.16,1.24,1.35,1.11,0.91,4.72,1.26,0.95
b_1,3.11,7.79,6.56,5.82,1.14,6.95,2.35,2.13,1.53,1.78,1.24,3.83,0.92,1.14,1.54,0.92
a_1,13.98,14.04,10.72,9.7,4.21,1.14,2.37,3.44,2.21,2.18,1.71,2.65,1.39,2.25,4.49,1.71
h_1,17.32,16.91,14.87,20.88,16.81,17.12,1.81,4.54,4.69,3.62,3.44,3.55,4.45,2.7,3.15,2.94
g_1,21.49,21.94,19.18,20.75,25.64,18.24,4.63,1.78,4.56,3.92,4.84,3.8,2.04,4.3,4.91,5.18
d_0,22.75,24.24,45.01,11.18,24.21,19.72,7.54,6.75,2.36,4.86,6.39,4.2,3.16,5.82,5.26,3.54
c_0,66.94,25.31,11.64,24.8,25.86,24.71,6.82,6.28,7.16,2.35,4.75,4.91,3.84,6.63,6.03,3.21
f_0,26.57,61.91,23.94,25.38,25.86,24.1,7.89,4.54,5.89,5.23,2.43,6.18,4.4,6.75,8.36,2.82
b_0,38.68,27.52,20.22,27.26,72.05,30.98,7.75,7.68,6.05,2.89,5.02,2.48,4.13,5.48,7.22,3.99
h_0,34.81,38.1,35.54,33.66,35.6,34.86,16.38,11.11,8.43,7.95,8.95,6.4,8.71,7.56,6.94,4.82
e_0,38.25,82.55,31.26,76.72,43.23,27.11,10.65,8.2,8.54,6.8,3.98,6.25,5.94,2.45,8.36,5.51
a_0,44.63,37.28,34.45,41.76,43.86,69.71,10.14,11.46,8.32,7.29,7.16,4.27,5.52,7.71,2.75,5.88
g_0,44.06,52.53,38.36,39.27,46.55,39.04,9.36,19.0,9.25,7.46,8.39,7.72,4.36,9.0,8.0,8.9
