,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,1.09,0.93,1.05,1.14,0.92,0.37,0.38,0.49,0.35,0.37,0.39,0.24,0.31,0.31,0.34
e_1,0.8,0.66,1.02,1.17,0.99,0.96,0.55,0.5,0.49,0.44,0.35,0.46,0.35,0.4,0.55,0.36
d_1,1.25,1.2,0.64,1.08,0.96,0.9,0.45,0.6,0.34,0.45,0.37,0.32,0.33,0.34,0.34,0.22
c_1,1.07,0.96,1.5,0.63,1.2,0.92,0.53,0.27,0.49,0.46,0.38,0.38,0.33,0.35,0.4,0.32
b_1,1.16,1.33,1.31,0.79,0.61,1.37,0.6,0.42,0.51,0.49,0.57,0.38,0.36,0.39,0.34,0.33
a_1,1.52,1.4,1.34,1.52,0.74,0.57,0.69,0.56,0.67,0.52,0.68,0.51,0.4,0.74,0.52,0.43
h_1,1.91,1.56,1.68,1.7,1.6,1.44,0.56,0.64,0.9,0.61,0.58,0.57,0.56,0.53,0.55,0.51
d_0,1.88,1.22,2.23,2.16,2.16,1.78,0.91,0.57,0.88,0.75,0.61,0.72,0.57,0.67,0.69,0.61
g_1,1.98,1.91,2.05,1.95,1.78,1.53,0.65,0.75,0.53,0.6,0.67,0.66,0.47,0.66,0.58,0.51
c_0,2.24,2.01,1.25,2.64,2.0,1.7,0.94,0.96,0.91,0.56,0.76,0.66,0.57,0.66,0.6,0.53
b_0,2.28,2.09,1.78,2.51,2.5,1.61,0.97,0.84,0.88,0.5,0.55,0.72,0.57,0.75,0.67,0.55
f_0,3.16,1.99,2.2,2.39,2.27,1.61,1.05,0.79,0.69,0.77,0.78,0.56,0.63,0.67,0.77,0.44
h_0,2.9,2.29,2.01,2.19,2.22,1.86,1.17,0.88,1.05,0.83,0.8,0.68,0.74,0.73,0.78,0.64
a_0,3.06,2.31,1.99,2.55,2.66,2.05,1.21,0.95,1.03,0.74,0.52,0.8,0.67,0.55,0.86,0.61
e_0,3.12,2.56,2.18,2.44,2.57,1.78,1.06,0.77,0.97,0.81,0.78,0.5,0.61,0.81,0.53,0.68
g_0,2.5,2.3,2.73,2.57,2.51,2.08,0.93,0.89,1.31,0.9,0.9,0.87,0.63,0.9,0.75,0.75
