,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,1.46,2.26,2.12,2.04,1.78,0.97,0.64,0.95,0.84,0.71,0.78,0.49,0.62,1.02,0.53
f_1,2.42,1.06,2.14,2.13,1.91,1.99,0.63,0.68,0.79,0.6,0.62,0.92,0.39,0.56,0.48,0.48
d_1,2.32,2.46,1.06,2.25,2.13,2.16,0.89,0.82,0.66,1.03,0.6,0.61,0.53,0.57,0.7,0.36
c_1,2.35,2.89,2.84,1.07,2.85,1.98,0.98,1.24,1.07,0.47,0.81,0.69,0.59,0.66,0.68,0.59
b_1,3.04,3.38,3.02,1.79,1.07,3.3,1.22,0.92,0.82,0.9,0.9,0.81,0.65,0.76,0.82,0.69
a_1,3.92,3.49,3.07,4.21,1.83,1.07,1.49,1.14,1.13,1.13,1.43,1.06,1.12,2.99,0.9,1.03
h_1,5.6,7.15,5.62,5.94,5.4,4.79,1.33,1.59,2.66,1.92,1.85,1.74,1.84,1.54,1.33,1.54
c_0,7.32,7.64,4.53,9.51,7.19,5.89,2.9,1.49,2.51,2.23,2.26,1.99,1.72,1.91,1.7,1.48
g_1,7.3,8.96,7.57,6.41,7.85,5.42,1.93,2.09,1.35,2.03,1.99,2.31,1.26,1.98,1.54,1.88
d_0,4.64,7.62,9.51,8.64,7.25,7.63,2.74,2.14,3.19,1.59,2.4,1.78,1.77,1.85,2.12,1.77
b_0,7.69,7.87,7.66,7.38,12.77,5.73,2.72,1.47,2.6,2.22,1.54,2.13,1.58,2.91,1.88,1.61
f_0,7.64,13.42,8.36,8.53,7.31,5.92,2.83,2.26,2.06,2.53,2.21,1.53,2.07,2.33,2.32,1.4
h_0,9.46,10.47,9.65,8.97,8.83,6.86,4.78,2.55,4.37,2.63,3.09,2.55,2.96,2.22,2.09,2.28
a_0,9.46,10.56,9.66,11.46,12.22,8.01,4.03,2.42,3.25,3.14,1.6,2.52,2.54,1.56,2.12,2.0
e_0,13.06,14.9,8.96,10.91,9.15,7.35,3.63,3.05,3.85,2.93,2.94,1.79,2.55,2.54,1.57,2.02
g_0,10.51,12.18,12.01,10.17,9.86,8.81,3.19,3.2,6.02,2.68,3.27,3.36,2.08,3.02,2.8,2.86
