,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.87,1.63,1.26,1.23,4.16,14.62,27.69,27.63,46.29,,43.71,50.3,88.25,117.22,
d_1,1.16,1.0,1.21,0.99,1.36,,18.27,24.08,,47.36,39.58,41.08,78.41,62.05,98.97,74.83
e_1,0.61,0.82,1.0,1.13,1.5,3.32,18.11,21.8,32.65,40.17,40.15,50.2,79.52,90.17,71.12,
c_1,0.8,1.01,0.89,1.0,1.61,,13.02,20.33,20.22,,32.23,35.46,69.26,70.98,77.59,113.3
b_1,0.81,0.74,0.67,0.62,1.0,3.02,12.57,18.46,20.16,23.59,23.38,,46.44,70.59,,90.54
a_1,0.24,,0.3,,0.33,1.0,5.55,7.42,7.54,10.25,10.91,13.05,20.99,,,
h_1,0.07,0.05,0.06,0.08,0.08,0.18,1.0,2.12,1.53,1.64,2.05,2.51,,6.48,5.14,6.57
g_1,0.04,0.04,0.05,0.05,0.05,0.13,0.47,1.0,1.07,1.4,2.01,1.98,2.1,,3.17,4.13
d_0,0.04,,0.03,0.05,0.05,0.13,0.66,0.94,1.0,1.13,1.13,1.29,2.59,2.86,3.86,3.53
c_0,0.02,0.02,0.02,,0.04,0.1,0.61,0.71,0.88,1.0,1.13,1.97,2.38,2.28,3.6,3.0
f_0,,0.03,0.02,0.03,0.04,0.09,0.49,0.5,0.89,0.89,1.0,1.34,1.57,2.12,2.45,4.62
b_0,0.02,0.02,0.02,0.03,,0.08,0.4,0.51,0.77,0.51,0.75,1.0,2.04,1.9,3.27,2.48
h_0,0.02,0.01,0.01,0.01,0.02,0.05,,0.48,0.39,0.42,0.64,0.49,,1.91,1.16,1.27
g_0,0.01,0.02,0.01,0.01,0.01,,0.15,,0.35,0.44,0.47,0.53,0.52,,0.99,1.03
a_0,0.01,0.01,0.01,0.01,,,0.19,0.32,0.26,0.28,0.41,0.31,0.86,1.01,1.0,
e_0,,0.01,,0.01,0.01,,0.15,0.24,0.28,0.33,0.22,0.4,0.79,0.97,,1.0
