,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.52,0.87,1.07,0.81,0.78,0.79,0.97,0.89,1.64,1.03,1.02,1.02,0.93,1.12,0.72,1.06
f_1,1.38,1.56,0.92,0.87,0.76,0.67,0.78,0.93,1.05,1.03,0.99,0.64,0.82,1.03,0.7,1.03
c_1,0.79,0.88,1.56,0.88,1.36,0.76,1.11,0.97,0.91,0.83,0.64,1.09,0.92,1.08,0.89,1.09
d_1,0.88,0.94,0.84,1.58,0.87,0.79,1.15,0.96,0.96,1.24,1.57,1.04,0.95,1.06,0.99,0.89
b_1,0.96,0.95,0.79,0.87,1.61,1.34,1.07,0.95,0.95,0.78,1.07,0.93,0.72,1.21,0.85,1.14
a_1,0.97,1.06,0.97,1.03,0.75,1.71,1.39,1.22,1.1,1.28,1.07,1.01,0.91,1.34,1.09,1.08
h_1,1.12,1.63,1.05,1.12,1.08,0.76,1.82,1.42,1.2,1.23,1.28,1.12,1.15,1.25,1.21,1.64
g_1,1.09,1.11,1.15,1.55,0.99,0.81,1.26,1.89,1.14,1.35,1.34,1.72,1.12,1.27,1.39,1.11
d_0,0.99,1.23,1.81,0.93,1.19,0.95,1.27,1.16,1.71,1.4,1.04,1.25,1.23,1.51,1.24,1.28
b_0,1.16,1.22,1.35,1.23,0.93,0.82,1.42,1.22,1.32,1.8,1.35,1.43,2.21,1.55,1.28,1.41
c_0,1.32,1.31,1.14,1.07,0.92,1.02,1.41,1.18,1.56,2.18,1.79,1.36,1.51,1.63,1.31,1.43
f_0,1.02,1.16,1.2,1.23,1.29,0.97,1.43,1.2,1.35,1.44,1.41,1.84,1.46,1.58,2.14,1.24
a_0,1.2,1.46,1.18,1.32,1.4,0.74,1.35,1.26,1.54,1.24,1.35,1.3,1.83,1.76,1.21,1.65
h_0,1.25,1.56,1.2,1.32,1.09,0.93,1.16,1.63,1.29,1.32,1.32,1.26,1.22,1.28,1.08,1.69
e_0,1.07,1.61,1.35,1.26,1.14,0.85,1.34,1.18,1.45,1.64,1.44,1.22,1.71,1.84,1.89,1.65
g_0,1.27,1.07,1.23,1.74,1.12,0.96,1.26,1.05,1.46,1.62,1.47,1.84,1.43,1.39,1.26,1.33
