,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,34.28,0.14,0.06,0.05,0.05,0.08,0.31,0.34,0.39,0.36,0.33,,0.58,0.36,0.48,0.35
e_1,0.05,36.92,0.07,0.06,0.08,0.08,0.32,0.25,0.76,0.47,0.28,0.39,0.4,0.3,0.44,
c_1,0.07,0.07,39.42,0.05,0.16,0.08,0.31,0.27,0.4,,0.27,0.44,0.66,0.26,0.42,0.37
d_1,0.08,0.05,0.06,41.98,0.07,0.07,0.32,0.29,,0.77,0.29,0.24,0.68,0.39,0.7,0.25
b_1,0.05,0.06,0.07,0.06,50.33,0.17,0.32,0.24,0.44,0.41,,0.23,0.67,0.26,0.7,0.38
a_1,0.09,0.08,0.07,0.05,0.06,77.37,0.31,0.29,0.41,0.37,,0.32,0.72,,,
h_1,0.46,0.28,0.22,0.29,0.28,0.24,28.7,1.13,1.46,1.39,1.31,1.38,,1.26,2.72,1.2
g_1,0.17,0.29,0.29,0.42,0.19,0.27,0.91,33.99,1.3,1.27,1.69,2.29,2.4,1.5,,1.19
d_0,0.35,0.25,0.63,,0.35,0.31,1.75,1.24,16.85,2.05,1.57,2.31,4.15,2.25,3.04,1.77
c_0,0.37,0.36,,0.37,0.29,0.23,1.18,1.33,1.99,19.04,4.46,2.28,2.85,1.98,3.82,2.47
b_0,0.33,0.33,0.23,0.49,,0.37,1.74,1.99,1.71,2.09,21.79,1.61,2.66,2.82,2.84,2.9
f_0,,0.28,0.36,0.35,0.23,,1.45,1.36,2.32,2.2,1.79,24.57,4.43,1.87,3.3,3.7
h_0,0.8,0.45,0.69,0.59,0.52,0.36,,3.27,2.29,3.16,4.3,1.87,,3.79,5.04,2.86
a_0,0.26,0.28,0.44,0.45,0.24,,1.91,1.05,1.71,1.56,2.22,2.25,2.17,31.92,3.58,2.07
g_0,0.5,0.44,0.39,0.91,0.52,0.54,2.32,,1.55,2.19,4.54,5.24,4.48,3.22,,3.78
e_0,0.24,,0.36,0.42,0.46,,1.11,1.66,3.13,1.55,2.18,2.67,3.07,,3.79,35.81
