,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.98,2.9,2.29,3.6,3.19,2.84,10.01,10.81,20.13,11.95,13.15,14.05,21.98,13.82,12.32,20.44
f_1,4.3,6.21,2.76,2.82,2.71,2.58,9.75,9.2,12.6,11.66,12.61,9.15,19.17,13.36,9.57,19.56
d_1,2.85,3.04,6.69,2.32,2.76,3.07,9.83,10.42,9.84,21.38,17.39,13.47,21.21,15.24,14.94,21.32
c_1,2.46,2.8,2.55,7.18,4.87,3.1,11.31,8.59,11.77,7.47,9.72,13.53,18.98,12.83,13.22,20.53
b_1,2.66,3.14,2.75,2.82,7.48,5.27,10.85,10.08,11.97,11.89,9.26,15.18,18.63,10.99,15.87,18.43
a_1,2.8,2.98,2.98,3.27,2.42,10.82,11.17,11.96,14.22,12.44,14.58,14.87,21.32,13.81,15.51,23.12
h_1,2.75,3.83,3.35,2.89,3.18,2.51,19.3,14.56,11.71,12.96,13.2,14.38,16.97,13.61,14.28,28.06
g_1,2.6,2.77,4.45,2.68,3.13,2.64,10.58,21.57,11.44,14.24,14.1,20.68,20.76,14.98,17.73,18.55
d_0,2.67,2.96,2.16,5.31,3.52,3.47,11.16,10.87,19.54,9.2,13.71,15.22,22.0,14.76,13.91,20.26
c_0,3.04,3.41,3.51,2.56,2.51,3.13,10.47,11.71,14.08,21.04,25.77,14.59,25.25,20.59,15.34,24.77
b_0,3.19,3.25,3.36,3.34,2.59,2.51,11.22,12.71,14.89,15.13,22.37,16.21,24.99,26.9,16.01,23.71
f_0,2.67,2.55,3.52,3.43,2.96,3.38,13.19,11.41,15.7,14.15,15.21,22.37,23.56,17.1,30.9,26.7
h_0,3.22,3.83,3.43,2.89,3.07,2.86,9.16,13.64,11.77,14.07,12.13,14.72,17.79,15.38,12.75,29.29
a_0,3.16,3.45,3.47,2.76,2.9,2.74,11.58,11.12,13.45,14.48,16.2,13.49,25.74,29.53,15.86,22.09
e_0,2.47,3.44,3.76,2.7,3.02,3.45,12.89,11.27,12.93,15.16,16.64,17.02,23.16,15.39,31.09,27.58
g_0,2.55,2.75,4.49,2.96,3.07,2.92,10.22,10.1,11.24,15.3,14.52,21.52,22.46,14.99,18.73,18.72
