,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.74,1.0,1.1,1.99,5.19,17.82,47.21,37.03,42.28,55.5,48.24,92.15,106.63,107.68,
f_1,1.35,1.0,1.25,1.46,2.76,4.13,18.59,29.31,31.49,46.41,36.45,,79.94,73.39,110.95,66.93
d_1,1.0,0.8,1.0,0.98,1.76,3.69,14.03,,20.94,47.21,34.43,36.51,70.95,65.36,58.2,90.54
c_1,0.91,0.69,1.03,1.0,2.3,2.38,12.31,14.98,27.87,,31.48,29.06,52.24,61.15,51.22,70.87
b_1,0.5,0.36,0.57,0.43,1.0,2.1,8.11,9.37,16.82,12.15,,20.36,,57.58,33.54,58.18
a_1,0.19,0.24,0.27,0.42,0.48,1.0,4.61,8.54,9.56,8.54,11.22,9.61,,24.22,41.27,
h_1,0.06,0.05,0.07,0.08,0.12,0.22,1.0,1.47,2.41,2.74,2.57,2.67,4.44,,5.33,7.89
d_0,0.02,0.03,,0.07,0.11,0.12,0.68,1.0,1.41,1.16,1.59,1.49,2.02,2.76,3.69,3.24
g_1,0.03,0.03,0.05,0.04,0.06,0.1,0.41,0.71,1.0,1.16,1.52,2.29,,1.73,,3.9
c_0,0.02,0.02,0.02,,0.08,0.12,0.36,0.86,0.86,1.0,1.41,1.42,1.78,2.63,3.56,2.38
b_0,0.02,0.03,0.03,0.03,,0.09,0.39,0.63,0.66,0.71,1.0,1.03,2.41,1.8,1.79,2.6
f_0,0.02,,0.03,0.03,0.05,0.1,0.37,0.67,0.44,0.7,0.97,1.0,2.24,2.14,1.82,3.37
a_0,0.01,0.01,0.01,0.02,,,0.23,0.5,,0.56,0.41,0.45,1.0,1.18,1.84,
h_0,0.01,0.01,0.02,0.02,0.02,0.04,,0.36,0.58,0.38,0.56,0.47,0.85,,1.45,1.4
g_0,0.01,0.01,0.02,0.02,0.03,0.02,0.19,0.27,,0.28,0.56,0.55,0.54,0.69,,0.77
e_0,,0.01,0.01,0.01,0.02,,0.13,0.31,0.26,0.42,0.39,0.3,,0.71,1.3,1.0
