,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.36,1.51,0.67,0.71,0.71,0.61,1.55,1.76,1.89,1.36,1.85,0.94,1.38,1.82,0.86,1.53
e_1,0.92,2.38,0.73,0.95,0.76,0.57,1.58,1.57,3.1,1.35,1.76,1.61,1.51,2.13,0.94,1.89
d_1,0.99,0.75,2.51,0.6,0.71,0.54,1.61,3.17,0.95,1.33,2.05,1.78,1.86,2.19,1.59,2.21
c_1,0.76,0.73,0.75,2.52,1.51,0.6,1.36,1.08,1.64,1.25,1.18,1.75,1.38,1.85,1.43,1.42
b_1,0.83,0.76,0.81,0.82,2.58,1.36,1.27,1.45,1.5,1.35,1.06,1.51,1.09,2.24,1.42,2.11
a_1,1.01,0.74,0.89,0.87,0.72,2.99,1.64,1.79,1.73,1.45,1.81,1.59,1.09,2.3,1.6,2.04
h_1,1.26,0.97,0.9,0.88,0.71,0.63,3.35,1.88,1.76,1.85,2.13,1.74,1.84,1.72,1.53,2.73
c_0,1.02,0.92,1.09,0.65,0.64,0.74,1.81,3.14,1.76,1.72,3.41,1.78,2.31,2.5,1.58,2.46
d_0,0.91,0.92,0.63,1.63,0.95,0.62,1.56,1.28,3.07,1.52,1.58,1.74,1.6,2.07,1.39,1.97
g_1,0.81,0.76,1.37,0.91,0.82,0.71,1.77,1.97,1.51,3.59,1.87,2.88,1.6,2.25,1.7,1.79
b_0,0.97,0.99,1.01,0.94,0.55,0.64,1.83,2.02,1.92,1.76,3.09,1.88,3.2,2.36,1.52,2.18
f_0,0.8,0.7,0.96,1.02,0.91,0.76,1.8,1.86,1.88,1.58,1.68,3.37,1.48,2.24,3.61,2.4
a_0,1.15,0.94,1.09,0.87,0.69,0.59,1.89,1.99,1.92,1.55,2.22,1.59,3.21,2.7,1.61,2.43
h_0,1.24,0.91,0.97,0.91,0.77,0.78,1.06,2.0,2.01,1.97,2.02,1.55,1.5,1.61,1.73,2.67
e_0,1.09,0.58,0.83,1.01,0.89,0.82,1.87,2.14,1.89,1.84,2.18,1.82,1.69,2.92,3.48,2.6
g_0,0.84,0.84,1.43,0.88,0.76,0.75,1.73,2.09,1.59,1.19,1.77,2.46,1.67,2.19,1.89,1.54
