,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.66,2.47,1.87,2.33,1.79,1.77,0.7,0.99,0.83,0.79,0.66,1.31,0.65,0.46,0.62,0.68
e_1,1.34,0.66,1.89,2.07,2.43,2.14,1.01,1.06,0.77,0.95,0.71,0.81,0.91,0.68,2.07,0.6
d_1,2.29,2.86,0.65,2.0,1.85,1.76,0.87,0.62,0.82,1.54,0.8,0.7,0.62,0.6,0.69,0.4
c_1,2.18,1.96,2.36,0.65,2.32,1.99,0.93,0.74,1.37,0.51,0.75,0.68,0.71,0.67,0.66,0.66
b_1,2.61,1.88,2.49,1.32,0.64,2.57,1.0,1.17,0.91,0.81,1.49,0.84,0.81,0.76,0.97,0.69
a_1,2.49,2.55,2.54,2.76,1.76,0.58,1.66,1.45,0.86,0.98,1.12,0.87,1.86,0.81,0.99,0.76
h_1,3.21,2.44,2.62,3.17,2.79,2.41,0.59,1.52,0.97,0.77,1.08,0.84,0.89,1.19,0.7,0.77
g_1,2.8,3.19,3.12,3.84,2.97,2.43,0.92,0.56,0.84,1.13,1.07,0.97,0.96,0.6,0.93,1.11
c_0,3.25,2.86,1.78,6.74,3.04,2.72,1.13,1.69,0.64,1.18,1.21,0.91,1.01,0.81,1.03,0.85
d_0,3.06,1.76,6.95,3.26,3.15,2.49,1.59,1.45,1.06,0.65,1.16,1.08,1.11,0.85,0.84,1.17
b_0,2.88,2.71,2.53,4.17,5.76,2.71,1.32,1.33,0.69,1.15,0.63,1.16,1.17,0.85,0.85,0.84
f_0,5.57,3.41,2.7,3.63,2.95,3.01,1.68,1.07,1.14,1.4,0.98,0.62,1.09,1.08,1.29,0.76
a_0,3.58,2.78,4.0,3.73,3.64,5.72,1.55,1.54,1.11,1.09,0.72,1.29,0.61,1.07,1.34,0.94
h_0,4.13,3.42,3.43,3.37,3.06,3.14,2.53,1.66,1.28,1.43,1.18,1.13,0.92,1.8,1.2,1.12
e_0,5.44,,3.43,4.08,2.89,2.85,1.93,1.34,1.31,1.91,1.61,0.65,1.04,0.75,0.55,0.91
g_0,3.87,3.53,4.29,3.54,3.21,3.0,1.39,3.32,1.51,1.42,1.29,1.65,1.36,0.93,1.12,1.82
