,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,5.84,0.68,0.34,0.73,0.63,0.48,2.66,2.15,5.76,3.07,2.77,2.99,4.67,3.0,0.82,4.05
f_1,1.18,5.97,0.62,0.61,0.39,0.58,1.85,1.72,2.29,3.4,0.56,3.13,4.26,2.89,2.78,3.34
d_1,0.57,0.6,6.46,0.55,0.61,0.59,2.42,2.47,0.71,5.77,2.77,3.58,5.14,2.93,3.09,3.91
c_1,0.56,0.52,0.65,6.7,1.01,0.51,2.33,1.73,3.0,0.39,3.16,2.65,4.6,3.19,2.9,4.79
b_1,0.56,0.54,0.7,0.48,6.81,1.18,1.7,2.32,2.81,2.8,4.07,0.61,4.58,2.39,2.98,4.62
a_1,0.57,0.59,0.74,0.49,0.55,10.03,2.43,2.47,2.62,3.14,3.02,2.92,4.49,0.62,4.32,3.94
h_1,0.87,1.5,1.07,1.03,1.12,0.9,15.0,4.76,4.86,3.73,4.29,5.4,2.44,3.71,5.82,10.73
g_1,0.94,0.9,1.5,1.19,1.24,0.93,3.71,17.48,3.32,5.19,8.37,4.18,4.29,4.88,4.69,2.2
d_0,0.87,1.24,0.4,2.06,0.99,1.02,4.24,4.32,14.25,4.42,4.2,5.36,7.18,4.03,4.81,7.92
c_0,1.32,1.31,1.31,0.42,0.74,1.01,4.5,3.64,4.42,13.84,5.13,10.65,6.11,6.52,4.8,7.42
f_0,0.79,0.55,1.19,1.44,1.61,0.86,4.07,4.41,5.11,3.68,17.21,3.84,7.63,5.01,10.76,10.58
b_0,0.88,1.25,1.25,1.39,0.41,0.72,3.56,3.93,5.5,6.25,5.9,17.73,10.06,10.1,6.01,8.28
h_0,0.97,1.6,1.09,0.96,0.98,1.07,1.7,5.26,5.4,4.66,5.69,5.09,2.04,5.42,4.6,9.35
a_0,1.1,1.14,1.14,0.99,1.39,,3.48,5.07,4.24,4.86,5.87,4.43,7.74,24.85,4.86,10.44
e_0,0.27,1.37,1.52,1.08,1.01,1.09,4.67,4.3,5.77,6.21,5.06,5.22,9.03,5.05,23.98,7.45
g_0,0.74,0.99,1.98,1.06,0.99,0.96,3.26,1.99,3.9,4.65,9.47,5.05,7.23,3.21,5.96,3.66
