,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.67,5.35,5.7,5.02,5.86,4.28,2.22,2.06,2.07,1.92,2.41,,1.67,2.31,1.44,2.32
d_1,6.54,0.66,5.71,6.17,4.4,5.56,2.98,1.92,2.38,,1.81,2.33,1.37,1.81,1.32,2.0
e_1,4.44,6.84,0.66,5.04,6.63,4.74,2.59,2.71,2.1,2.53,1.89,2.01,1.63,1.58,1.95,
c_1,6.06,6.84,7.64,0.64,5.34,8.52,2.32,2.76,,1.34,2.25,2.18,1.62,2.14,1.85,1.88
b_1,5.51,7.63,6.79,4.34,0.63,7.9,2.75,2.61,2.66,2.37,,1.96,1.94,1.86,1.59,2.05
a_1,8.89,8.17,7.55,5.71,4.36,0.59,3.73,2.97,2.41,2.3,,,1.84,,1.72,
h_1,4.44,4.39,4.65,5.47,4.5,3.71,0.62,2.29,1.94,2.04,1.7,1.62,,1.41,1.79,1.72
g_1,8.0,5.73,5.86,5.83,5.8,5.0,2.11,0.58,1.8,1.44,2.27,1.69,1.31,2.37,,
c_0,4.36,3.17,5.12,,5.51,4.78,1.86,2.03,0.71,2.17,2.15,1.97,1.2,,1.48,1.32
d_0,4.42,,3.18,4.55,5.12,5.63,2.15,3.17,1.69,0.71,1.81,1.58,1.48,1.83,1.15,2.3
b_0,5.25,5.61,6.24,7.09,,,2.18,2.11,1.13,1.51,0.68,1.93,1.73,2.77,1.62,1.69
f_0,,3.93,6.06,5.28,5.33,,2.54,1.76,1.66,2.17,1.55,0.67,1.84,1.86,1.15,1.96
h_0,4.67,5.32,4.24,4.81,4.49,4.03,,2.04,1.66,1.72,1.3,1.51,,1.38,1.58,1.38
a_0,5.87,6.38,7.4,6.15,7.69,,3.68,2.04,,2.5,1.18,2.36,1.59,0.59,1.48,
g_0,6.63,4.76,4.5,4.6,6.65,4.86,1.6,,1.66,2.15,1.7,1.83,1.11,1.57,,1.66
e_0,5.96,6.28,,6.57,5.21,,2.46,,3.04,1.8,1.96,1.4,1.86,,1.43,0.61
