,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.94,0.42,0.55,0.37,0.37,0.33,0.34,0.5,0.32,0.27,0.29,0.3,0.24,0.22,0.2,0.23
f_1,0.7,0.95,0.44,0.5,0.34,0.27,0.27,0.27,0.27,0.28,0.25,0.17,0.24,0.22,0.13,0.24
c_1,0.4,0.44,0.94,0.46,0.68,0.29,0.3,0.25,0.16,0.23,0.19,0.26,0.24,0.2,0.19,0.24
d_1,0.55,0.43,0.41,0.95,0.46,0.29,0.3,0.21,0.45,0.25,0.3,0.27,0.26,0.17,0.19,0.2
b_1,0.47,0.58,0.39,0.46,0.94,0.62,0.33,0.28,0.37,0.28,0.16,0.25,0.26,0.17,0.19,0.22
a_1,0.53,0.6,0.53,0.59,0.31,0.94,0.43,0.36,0.29,0.29,0.33,0.32,0.3,0.15,0.27,0.26
h_1,0.69,0.93,0.74,0.76,0.57,0.42,0.76,0.45,0.45,0.55,0.38,0.39,0.32,0.27,0.33,0.44
d_0,0.64,0.79,1.25,0.59,0.68,0.53,0.49,0.67,0.39,0.42,0.46,0.44,0.46,0.29,0.36,0.42
c_0,0.8,0.93,0.73,0.69,0.43,0.58,0.53,0.54,0.67,0.44,0.74,0.39,0.49,0.41,0.37,0.4
g_1,0.73,0.6,0.81,1.12,0.56,0.54,0.45,0.46,0.5,0.75,0.45,0.56,0.39,0.26,0.33,0.27
b_0,0.8,0.83,0.98,0.8,0.55,0.44,0.59,0.53,0.46,0.47,0.68,0.43,0.45,0.59,0.35,0.42
f_0,0.68,0.71,0.91,0.82,0.78,0.53,0.58,0.56,0.51,0.45,0.49,0.66,0.46,0.34,0.6,0.35
h_0,0.8,1.15,0.97,0.89,0.74,0.58,0.45,0.53,0.49,0.59,0.51,0.44,0.41,0.36,0.36,0.56
a_0,0.87,0.88,0.91,0.99,0.85,0.49,0.67,0.61,0.51,0.62,0.43,0.53,0.62,0.62,0.37,0.45
e_0,0.57,1.15,0.9,0.94,0.84,0.58,0.68,0.53,0.59,0.53,0.56,0.44,0.52,0.41,0.63,0.44
g_0,0.75,0.83,0.89,1.23,0.83,0.57,0.59,0.47,0.55,0.51,0.51,0.68,0.39,0.44,0.47,0.4
