,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.72,1.16,0.5,0.52,0.46,0.67,0.78,0.79,0.81,0.8,1.04,0.35,0.97,0.85,0.94,0.63
e_1,0.74,2.86,0.49,0.73,0.53,0.44,0.94,0.97,0.9,1.74,0.93,1.07,1.05,1.09,0.98,0.52
d_1,0.62,0.54,2.99,0.56,0.66,0.47,0.99,1.74,0.79,0.31,0.96,1.02,0.93,0.93,0.96,1.21
c_1,0.59,0.49,0.66,3.02,1.2,0.6,0.89,0.3,0.75,0.85,0.68,0.89,0.99,0.77,1.01,0.91
b_1,0.57,0.53,0.71,0.7,3.58,1.16,0.88,0.8,0.73,0.86,0.38,0.95,0.86,0.91,0.77,0.89
a_1,0.53,0.63,0.67,0.66,0.56,5.34,0.92,0.96,1.09,0.91,1.04,1.06,1.07,0.38,0.9,0.92
h_1,0.96,0.63,0.89,0.64,0.65,0.7,2.94,1.02,1.49,1.14,1.24,1.11,0.56,0.92,1.71,1.03
c_0,0.95,0.68,0.76,0.49,0.54,0.71,1.16,2.32,1.57,1.23,2.56,1.41,1.29,1.48,1.09,1.43
g_1,0.7,0.67,1.14,0.72,0.73,0.61,1.03,1.11,3.79,0.94,1.09,1.69,1.01,1.13,0.55,1.18
d_0,0.8,0.63,0.46,1.51,0.66,0.65,1.11,0.76,1.19,2.35,1.35,1.16,1.17,1.38,1.56,1.38
b_0,0.97,0.71,0.82,0.85,0.25,0.63,0.94,1.11,1.17,1.28,2.97,1.25,1.34,2.73,1.3,1.17
f_0,0.5,0.54,0.9,0.86,0.81,0.77,1.24,1.17,1.22,1.15,1.16,2.92,1.13,1.33,1.08,3.15
h_0,1.22,0.7,0.77,0.78,0.63,0.67,0.58,1.06,1.75,1.06,1.19,1.09,0.81,1.08,1.4,0.84
a_0,0.81,0.65,1.06,0.76,0.73,0.33,1.16,1.08,0.99,1.32,1.15,1.21,1.38,3.37,1.16,1.44
g_0,0.65,0.67,1.21,0.82,0.72,0.54,1.07,1.22,0.88,1.09,1.19,1.82,1.21,0.9,0.7,1.48
e_0,0.86,0.39,0.87,0.9,0.72,0.73,1.02,1.4,0.87,1.14,0.98,1.23,1.31,0.97,1.42,3.77
