,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.5,0.75,0.42,0.46,0.45,0.4,0.48,0.44,0.5,0.44,0.5,0.24,0.55,0.4,0.38,0.51
e_1,0.43,1.51,0.4,0.5,0.44,0.36,0.61,0.59,0.5,0.91,0.58,0.55,0.7,0.44,0.23,0.55
d_1,0.48,0.46,1.54,0.36,0.45,0.38,0.58,0.94,0.41,0.4,0.59,0.67,0.58,0.48,0.54,0.48
c_1,0.53,0.43,0.57,1.55,0.7,0.28,0.47,0.21,0.46,0.45,0.5,0.6,0.57,0.44,0.39,0.54
b_1,0.49,0.46,0.45,0.42,1.57,0.7,0.55,0.52,0.57,0.5,0.3,0.53,0.63,0.37,0.5,0.61
a_1,0.46,0.44,0.55,0.61,0.34,1.74,0.73,0.8,0.62,0.61,0.64,0.48,0.76,0.35,0.48,0.55
h_1,0.94,0.68,0.76,0.71,0.75,0.56,1.67,0.73,0.8,0.83,0.84,0.75,0.49,0.65,0.54,0.97
c_0,0.99,0.79,0.79,0.62,0.64,0.54,0.97,1.52,0.63,0.9,1.5,0.89,0.8,0.86,0.91,0.78
g_1,0.72,0.69,1.21,0.72,0.59,0.53,0.81,0.99,1.79,0.79,0.66,1.19,0.88,0.9,0.67,0.71
d_0,1.01,0.66,0.31,1.32,0.71,0.67,0.76,0.83,0.74,1.49,0.8,0.65,0.83,0.79,0.58,0.88
b_0,0.99,0.89,0.79,0.84,0.47,0.45,0.61,0.77,0.96,0.94,1.55,0.88,1.02,1.55,0.88,1.15
f_0,0.52,0.76,0.79,0.85,0.9,0.7,0.89,0.86,0.72,1.03,0.88,1.59,0.94,0.81,1.4,0.74
h_0,1.16,0.66,0.83,0.76,0.73,0.62,0.58,1.0,1.03,1.11,1.01,0.77,0.66,0.9,0.78,1.29
a_0,0.97,0.85,0.79,0.95,0.83,,0.99,0.94,0.76,0.98,0.76,0.92,0.79,1.7,0.86,1.01
e_0,1.03,0.51,0.81,1.02,0.93,0.49,1.08,0.89,0.99,1.11,1.04,0.67,0.93,0.86,1.76,1.26
g_0,0.79,0.79,1.29,0.89,0.74,0.55,1.03,0.97,,0.9,0.64,1.36,0.72,0.83,0.71,0.66
