,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.88,0.15,0.08,0.09,0.06,0.04,0.07,0.05,0.07,0.08,0.07,0.02,0.09,0.05,0.03,0.06
e_1,0.1,0.88,0.09,0.06,0.07,0.04,0.08,0.06,0.15,0.08,0.07,0.06,0.07,0.05,0.01,0.07
c_1,0.09,0.07,0.88,0.1,0.11,0.05,0.08,0.06,0.08,0.01,0.07,0.07,0.08,0.04,0.05,0.06
d_1,0.11,0.08,0.07,0.87,0.08,0.05,0.08,0.06,0.02,0.13,0.09,0.06,0.09,0.05,0.05,0.04
b_1,0.09,0.08,0.08,0.08,0.87,0.09,0.08,0.06,0.08,0.08,0.01,0.07,0.07,0.05,0.05,0.07
a_1,0.09,0.12,0.06,0.11,0.06,0.87,0.09,0.06,0.07,0.08,0.07,0.06,0.07,,0.05,0.05
h_1,0.19,0.15,0.14,0.16,0.12,0.07,0.53,0.12,0.12,0.12,0.11,0.1,0.04,0.09,0.08,0.16
g_1,0.14,0.09,0.15,0.23,0.12,0.08,0.13,0.53,0.12,0.13,0.14,0.22,0.11,0.11,0.12,0.05
d_0,0.16,0.17,0.29,0.05,0.1,0.09,0.12,0.1,0.35,0.11,0.12,0.14,0.13,0.07,0.09,0.12
c_0,0.17,0.17,0.07,0.17,0.1,0.11,0.16,0.1,0.14,0.36,0.24,0.1,0.15,0.11,0.09,0.11
b_0,0.19,0.16,0.15,0.15,0.05,0.08,0.14,0.12,0.13,0.16,0.38,0.12,0.18,0.19,0.1,0.13
f_0,0.07,0.13,0.2,0.15,0.14,0.1,0.15,0.12,0.17,0.16,0.09,0.39,0.15,0.07,0.19,0.14
h_0,0.25,0.16,0.17,0.13,0.11,0.06,0.03,0.15,0.12,0.09,0.11,0.1,0.05,0.09,0.07,0.14
a_0,0.17,0.19,0.17,0.15,0.15,,0.15,0.07,0.1,0.12,0.14,0.09,0.13,0.37,0.05,0.1
e_0,0.18,0.06,0.15,0.14,0.16,0.1,0.16,0.12,0.17,0.13,0.12,0.15,0.2,0.09,0.36,0.11
g_0,0.16,0.15,0.17,0.21,0.11,0.08,0.12,0.05,0.12,0.1,0.08,0.13,0.13,0.09,0.08,0.05
