,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,3.76,0.77,0.33,0.4,0.4,0.33,0.7,0.69,0.55,0.58,0.81,0.22,0.9,0.74,0.68,0.86
e_1,0.44,3.84,0.5,0.27,0.41,0.35,0.72,1.47,0.8,0.81,0.8,0.77,0.86,0.64,0.2,0.87
c_1,0.34,0.35,4.17,0.38,0.77,0.5,0.79,0.77,0.63,0.11,0.56,0.84,0.8,0.94,0.85,0.88
d_1,0.42,0.33,0.3,4.36,0.34,0.29,0.86,0.23,0.8,1.75,1.11,0.8,0.99,0.95,0.94,0.88
b_1,0.36,0.36,0.43,0.35,4.78,0.82,0.87,0.79,0.63,0.72,0.15,1.05,0.84,0.59,1.04,0.63
a_1,0.43,0.42,0.41,0.41,0.33,7.21,0.63,0.86,0.9,0.71,0.65,0.95,1.05,0.18,0.53,0.79
h_1,1.08,0.66,0.69,0.82,0.47,0.5,5.22,1.13,1.66,1.16,1.23,1.15,0.51,1.41,1.49,1.79
d_0,0.79,0.67,1.36,0.21,0.66,0.68,1.32,3.47,1.09,1.23,1.81,1.03,1.2,1.46,1.12,1.57
g_1,0.6,0.56,0.65,1.26,0.56,0.5,0.98,1.35,6.48,1.34,1.32,2.44,0.97,1.07,1.68,0.8
c_0,0.92,0.49,0.35,0.77,0.54,0.64,1.4,1.95,1.55,4.41,3.61,1.55,2.14,1.72,1.45,1.47
b_0,0.81,0.75,0.7,0.81,0.15,0.39,1.35,1.56,1.38,2.31,5.26,1.51,2.02,3.24,1.48,1.66
f_0,0.24,0.66,0.88,0.91,0.66,0.76,1.15,1.42,1.49,1.29,1.21,5.19,1.75,1.82,3.31,2.15
h_0,0.91,0.62,0.62,0.91,0.68,0.64,0.47,1.14,1.66,1.47,1.32,1.51,0.57,1.3,1.61,2.23
a_0,0.85,0.82,0.81,0.95,0.49,,1.55,1.21,1.63,1.32,1.25,1.52,1.47,6.04,2.11,1.49
e_0,0.74,0.15,0.83,0.87,0.94,0.46,1.42,1.47,1.63,1.65,1.8,1.48,1.78,1.69,6.33,2.14
g_0,0.7,0.5,0.84,1.12,0.66,0.64,1.07,0.94,0.51,1.09,1.08,2.32,1.81,1.37,1.5,0.77
