,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,16.04,0.57,0.51,0.66,0.56,0.53,0.9,0.93,0.99,1.82,0.83,0.92,0.9,1.02,0.36,0.89
f_1,1.21,17.15,0.43,0.57,0.43,0.52,0.76,0.67,0.73,0.83,0.33,0.84,0.97,0.89,0.66,0.82
d_1,0.42,0.51,19.34,0.38,0.54,0.58,0.95,0.92,2.25,0.4,1.06,1.13,0.95,0.72,1.21,0.97
c_1,0.48,0.44,0.51,21.05,1.2,0.48,0.92,0.8,0.19,0.86,1.01,0.64,0.9,0.77,0.87,0.89
b_1,0.45,0.61,0.48,0.57,22.85,1.11,0.9,0.87,0.7,0.78,0.97,0.34,0.56,1.1,0.79,0.87
a_1,0.63,0.53,0.54,0.43,0.45,32.76,0.87,0.83,0.89,0.93,1.04,0.93,0.44,1.21,1.24,0.98
h_1,0.52,1.18,0.69,0.69,0.57,0.62,5.25,1.5,1.03,1.0,1.0,1.44,1.28,0.75,1.29,1.74
g_1,0.57,0.58,1.27,0.82,0.67,0.51,0.78,6.28,1.0,0.87,1.9,1.13,1.06,1.46,0.81,0.82
c_0,0.49,0.8,1.1,0.43,0.43,0.7,1.17,1.1,3.23,1.06,1.31,3.95,1.49,1.52,1.63,1.64
d_0,0.63,0.79,0.33,1.67,0.65,0.44,1.12,1.26,0.91,3.22,1.14,1.26,1.43,1.56,1.36,1.1
f_0,0.48,0.34,0.97,0.89,0.55,0.65,1.2,1.13,1.35,1.51,4.47,1.34,1.26,1.33,4.06,1.49
b_0,0.51,0.83,0.84,0.91,0.24,0.54,1.16,1.21,1.16,1.27,1.61,4.27,3.13,1.41,1.48,1.61
a_0,0.55,1.02,0.89,0.71,0.56,0.24,1.34,1.12,1.1,1.2,1.24,1.2,5.47,1.36,1.25,1.46
h_0,0.62,1.32,0.89,0.54,0.55,0.69,0.59,1.78,1.1,0.97,1.11,1.05,1.04,0.72,0.98,1.7
e_0,0.29,0.88,0.78,0.75,0.86,0.61,1.13,1.08,1.26,1.23,1.41,1.69,1.66,1.45,5.78,1.19
g_0,0.6,0.52,1.62,0.71,0.6,0.51,1.01,0.62,1.06,0.97,2.19,1.44,1.27,1.36,1.42,0.87
