,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.39,1.22,1.28,1.73,3.35,16.37,21.6,31.54,26.51,43.62,59.72,62.35,82.7,84.25,114.84
e_1,0.72,1.0,1.42,1.14,1.67,3.38,19.9,32.19,37.08,41.28,42.31,53.41,69.22,74.88,120.75,122.88
c_1,0.82,0.7,1.0,1.19,1.78,3.43,17.29,14.39,26.3,17.28,30.21,39.53,60.87,76.91,75.11,85.54
d_1,0.78,0.88,0.84,1.0,1.22,2.45,16.32,23.04,19.94,38.47,39.05,36.75,49.39,65.97,71.97,69.98
b_1,0.58,0.6,0.56,0.82,1.0,3.66,16.91,14.43,20.89,22.95,29.84,40.29,40.53,56.42,57.79,57.16
a_1,0.3,0.3,0.29,0.41,0.27,1.0,5.93,6.68,11.5,8.64,14.53,14.71,20.64,27.09,21.38,28.51
h_1,0.06,0.05,0.06,0.06,0.06,0.17,1.0,1.03,2.09,1.46,1.94,2.4,3.17,4.0,4.53,6.57
d_0,0.05,0.03,0.07,0.04,0.07,0.14,0.99,1.0,1.26,1.18,1.94,1.71,2.72,3.89,3.07,5.63
g_1,0.03,0.03,0.04,0.05,0.05,0.09,0.48,0.8,1.0,0.94,1.23,1.91,1.48,2.1,2.68,3.91
c_0,0.04,0.03,0.06,0.03,0.04,0.11,0.67,0.87,1.05,1.0,1.64,1.61,2.36,3.08,2.36,3.53
b_0,0.02,0.02,0.03,0.02,0.03,0.07,0.53,0.53,0.78,0.67,1.0,1.32,1.82,3.11,1.9,3.06
f_0,0.02,0.02,0.03,0.03,0.03,0.07,0.39,0.51,0.51,0.61,0.74,1.0,1.35,1.79,2.63,1.93
h_0,0.02,0.01,0.02,0.02,0.02,0.05,0.31,0.35,0.68,0.44,0.55,0.72,1.0,1.23,1.33,1.82
a_0,0.01,0.01,0.01,0.02,0.02,,0.26,0.25,0.5,0.34,0.32,0.54,0.8,1.0,1.18,1.23
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.24,0.31,0.38,0.38,0.5,0.39,0.75,0.96,1.0,1.41
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.17,0.25,0.28,0.34,0.52,0.57,0.76,0.75,1.0
