,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,104.17,50.68,54.57,77.84,108.66,384.07,6804.02,11948.47,28682.72,20090.89,26810.9,34174.71,62318.63,88860.76,176633.27,160208.01
f_1,67.47,108.8,64.04,68.7,98.2,413.53,6961.63,11088.4,16046.25,14858.71,24264.39,17339.34,61207.2,58437.87,183593.15,99072.78
d_1,45.14,51.39,127.72,56.66,112.73,379.27,6898.36,9580.14,8701.12,26849.32,26400.0,27224.96,58408.68,74767.95,134217.82,121947.87
c_1,41.58,49.14,55.29,139.88,175.66,254.19,5893.06,8651.23,12349.48,8594.11,15514.14,25553.97,51026.48,74802.77,150251.68,136207.44
b_1,37.46,42.25,47.98,42.54,221.25,480.68,4674.26,7411.25,11100.15,11611.94,9897.47,24598.64,41339.95,56960.44,106019.48,99904.17
a_1,21.63,24.02,33.0,45.54,48.78,599.16,4286.21,5613.24,8801.68,9442.5,11921.15,14076.29,18877.0,44641.68,84142.39,100757.86
h_1,13.13,15.86,15.35,18.52,32.61,73.22,3014.25,3519.38,4616.38,4991.28,6575.95,7397.41,15478.69,18397.82,54599.01,41983.11
g_1,9.71,8.74,18.9,18.03,26.86,97.96,1405.2,4347.03,3334.2,4096.31,4697.6,9535.75,12666.75,14657.78,27440.0,35294.07
d_0,8.35,10.69,10.8,22.6,24.43,77.22,1316.35,2451.49,4991.15,2830.83,4753.71,6650.47,10886.68,16556.39,31806.85,32723.14
c_0,9.05,12.41,12.08,12.47,20.4,86.13,1296.73,2297.98,3510.2,5313.53,7566.91,6797.79,14669.24,16786.76,33419.3,30251.63
b_0,7.92,10.51,10.96,14.83,14.72,79.1,1255.98,2387.06,3226.32,2725.79,6706.04,6123.45,19196.35,16643.23,38109.19,28518.16
f_0,6.26,7.22,12.86,13.27,19.37,69.58,1418.63,2029.75,3075.23,3111.73,4267.5,7873.35,12596.68,15694.39,25647.07,47109.16
a_0,6.03,7.11,10.23,9.23,14.82,34.4,967.02,1655.31,2346.51,2119.07,3185.34,4340.76,14048.33,8692.7,25503.27,26177.51
h_0,5.3,9.48,8.81,9.03,15.45,49.38,601.83,1758.09,2024.22,2280.1,2756.8,3353.34,9399.13,7333.09,28142.03,18619.7
g_0,4.48,4.49,8.95,6.27,13.86,37.84,597.55,1072.32,1871.6,2023.9,2164.97,4588.89,6629.81,8056.61,14114.37,15946.84
e_0,2.74,7.02,6.91,8.06,13.78,38.66,716.39,1141.29,1768.88,1726.04,2297.03,2763.9,5280.42,8002.27,15884.3,26743.32
