,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.71,0.68,0.71,0.57,0.54,0.59,1.03,1.65,0.89,0.92,1.01,1.06,0.91,0.85,0.46,1.07
f_1,1.16,2.72,0.58,0.51,0.52,0.44,0.77,0.89,0.81,0.85,0.93,0.34,1.05,0.93,0.74,0.95
c_1,0.47,0.55,3.17,0.54,1.19,0.69,0.87,1.02,0.93,0.33,0.67,1.03,0.8,0.8,1.02,0.91
d_1,0.55,0.74,0.45,3.29,0.57,0.55,0.98,0.36,0.98,1.83,1.07,0.98,1.03,1.17,1.04,0.8
b_1,0.54,0.54,0.75,0.69,3.5,1.14,0.72,0.73,0.66,0.65,0.26,0.9,1.12,0.6,0.86,0.91
a_1,0.58,0.59,0.65,0.79,0.55,4.66,0.88,0.8,1.07,0.89,1.0,0.89,0.9,0.4,0.91,0.93
h_1,0.71,1.21,0.68,0.71,0.64,0.55,3.08,0.97,1.2,1.1,1.13,1.08,0.58,1.37,1.04,1.39
d_0,0.61,0.82,1.52,0.32,0.86,0.59,1.1,2.24,0.91,0.89,1.03,1.26,1.24,1.11,1.39,1.1
g_1,0.61,0.7,0.67,1.22,0.71,0.55,1.09,1.07,3.53,1.23,1.26,1.51,1.1,1.2,1.34,0.67
c_0,0.74,0.93,0.43,0.94,0.45,0.63,1.32,0.99,1.13,2.61,2.7,1.28,1.28,1.55,1.36,1.3
b_0,0.81,0.77,0.73,0.9,0.3,0.69,1.47,1.08,1.14,1.16,2.66,1.49,1.08,2.77,1.19,1.53
f_0,0.57,0.48,0.77,0.87,0.8,0.91,1.11,1.24,1.23,1.23,1.58,2.91,1.18,1.51,2.91,1.34
h_0,0.77,1.16,0.78,0.71,0.68,0.64,0.57,0.97,1.3,1.02,1.3,1.15,0.69,1.21,1.31,1.52
a_0,0.82,0.79,0.93,0.78,0.54,0.33,1.09,1.23,0.94,1.14,1.26,1.19,1.49,3.4,1.52,1.23
e_0,0.37,0.87,0.81,0.81,0.82,0.78,1.1,1.01,1.27,1.23,1.52,1.38,1.45,1.23,3.93,1.39
g_0,0.75,0.52,0.66,1.36,0.83,0.72,1.1,0.89,0.72,1.1,1.2,2.03,1.43,1.14,1.27,0.75
