,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,0.58,0.56,0.65,0.71,0.62,0.14,0.22,0.12,0.15,0.13,0.25,0.07,0.14,0.12,0.11
d_1,0.65,0.16,0.78,0.71,0.64,0.62,0.19,0.12,0.12,0.29,0.11,0.12,0.08,0.13,0.13,0.06
e_1,0.35,0.72,0.16,0.68,0.74,0.88,0.19,0.24,0.14,0.15,0.14,0.18,0.1,0.14,0.24,0.11
c_1,0.66,0.83,0.54,0.15,0.67,0.63,0.16,0.2,0.23,0.08,0.13,0.11,0.11,0.1,0.14,0.1
b_1,0.72,0.71,0.7,0.35,0.14,0.6,0.29,0.19,0.22,0.17,0.45,0.15,0.11,0.18,0.16,0.11
a_1,0.85,0.66,0.75,0.84,0.31,0.09,0.2,0.2,0.16,0.14,0.18,0.14,0.11,0.32,0.12,0.1
h_1,0.59,0.46,0.49,0.48,0.6,0.41,0.05,0.17,0.12,0.11,0.11,0.11,0.17,0.13,0.1,0.08
g_1,0.62,0.45,0.5,0.63,0.6,0.45,0.12,0.05,0.11,0.11,0.11,0.1,0.05,0.11,0.09,0.1
c_0,0.65,0.28,0.53,1.11,0.7,0.48,0.16,0.15,0.06,0.15,0.1,0.11,0.07,0.11,0.1,0.07
d_0,0.48,1.03,0.28,0.58,0.55,0.66,0.16,0.17,0.12,0.06,0.13,0.1,0.08,0.1,0.1,0.1
b_0,0.54,0.4,0.53,0.73,1.12,0.46,0.12,0.14,0.06,0.1,0.05,0.09,0.08,0.12,0.09,0.06
f_0,0.89,0.47,0.5,0.54,0.59,0.45,0.17,0.1,0.1,0.11,0.11,0.05,0.08,0.12,0.11,0.04
h_0,0.51,0.53,0.49,0.56,0.51,0.42,0.21,0.17,0.09,0.1,0.1,0.09,0.1,0.11,0.1,0.07
a_0,0.59,0.43,0.54,0.55,0.67,0.98,0.15,0.13,0.1,0.11,0.06,0.09,0.08,0.04,0.08,0.09
e_0,0.85,0.42,0.75,0.6,0.47,0.49,0.15,0.14,0.1,0.12,0.1,0.05,0.08,0.11,0.04,0.07
g_0,0.53,0.62,0.5,0.51,0.45,0.48,0.1,0.19,0.1,0.12,0.1,0.1,0.06,0.12,0.12,0.11
