,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.95,0.52,0.8,0.5,0.43,0.33,0.3,0.3,0.31,0.34,0.3,0.21,0.3,0.23,0.18,0.24
d_1,0.66,0.95,0.56,0.46,0.45,0.33,0.38,0.3,0.54,0.25,0.39,0.29,0.32,0.25,0.25,0.24
e_1,0.56,0.5,0.95,0.61,0.49,0.36,0.4,0.34,0.34,0.53,0.32,0.31,0.35,0.27,0.22,0.32
c_1,0.59,0.59,0.51,0.95,0.77,0.38,0.33,0.32,0.26,0.3,0.27,0.32,0.34,0.26,0.24,0.31
b_1,0.66,0.68,0.54,0.49,0.94,0.67,0.42,0.32,0.37,0.36,0.25,0.32,0.35,0.24,0.25,0.29
a_1,0.77,0.76,0.65,0.64,0.45,0.94,0.43,0.44,0.38,0.36,0.44,0.35,0.46,0.22,0.3,0.31
h_1,1.16,0.91,0.72,0.82,0.64,0.46,0.79,0.62,0.47,0.44,0.39,0.44,0.45,0.34,0.35,0.49
g_1,0.86,1.24,0.82,0.85,0.74,0.5,0.55,0.78,0.53,0.43,0.45,0.6,0.47,0.46,0.4,0.4
c_0,1.07,0.84,0.92,0.77,0.64,0.62,0.67,0.54,0.72,0.55,0.81,0.45,0.58,0.5,0.41,0.48
d_0,1.01,0.71,0.75,1.37,0.82,0.55,0.6,0.56,0.36,0.7,0.44,0.5,0.51,0.43,0.41,0.45
b_0,1.07,0.9,0.99,0.94,0.74,0.54,0.68,0.62,0.52,0.61,0.69,0.48,0.57,0.75,0.43,0.48
f_0,0.98,1.04,0.83,1.0,0.76,0.6,0.69,0.53,0.61,0.51,0.57,0.71,0.67,0.48,0.7,0.47
h_0,1.29,1.01,1.0,0.91,0.83,0.59,0.54,0.7,0.54,0.55,0.56,0.47,0.5,0.44,0.41,0.62
a_0,1.18,1.02,1.02,0.95,0.84,0.55,0.76,0.59,0.64,0.58,0.48,0.56,0.67,0.66,0.45,0.54
e_0,1.23,1.1,0.75,1.06,0.88,0.64,0.74,0.58,0.65,0.57,0.57,0.47,0.61,0.43,0.68,0.52
g_0,1.2,1.48,0.82,0.82,0.87,0.65,0.67,0.55,0.66,0.46,0.59,0.72,0.56,0.51,0.5,0.46
