,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.17,1.95,1.72,1.84,1.44,1.6,0.47,0.29,1.12,0.33,0.33,0.31,0.24,0.4,0.15,0.28
f_1,1.66,0.17,1.63,1.96,1.82,1.67,0.33,0.56,0.33,0.34,0.29,1.23,0.14,0.27,0.29,0.29
e_1,2.25,0.91,0.17,1.79,1.67,1.75,0.55,0.54,0.36,0.42,0.41,0.4,0.25,0.3,0.21,1.01
c_1,2.1,1.6,1.62,0.14,1.63,1.81,0.45,0.39,0.19,1.0,0.3,0.41,0.35,0.26,0.26,0.35
b_1,1.58,2.0,1.62,0.93,0.13,1.89,0.48,0.45,0.34,0.34,1.6,0.32,0.23,0.56,0.27,0.35
a_1,1.33,2.14,1.61,1.88,0.99,0.09,0.62,0.84,0.4,0.33,0.44,0.34,0.28,1.73,0.32,0.46
h_1,1.02,0.91,0.88,0.79,1.14,0.85,0.07,0.32,0.18,0.17,0.19,0.17,0.4,0.2,0.16,0.18
g_1,1.02,0.93,1.19,0.83,1.0,0.81,0.18,0.06,0.24,0.2,0.2,0.22,0.12,0.23,0.28,0.22
d_0,1.9,1.0,0.51,0.94,1.02,0.99,0.29,0.32,0.07,0.17,0.21,0.16,0.16,0.14,0.15,0.18
c_0,0.46,1.07,0.91,3.92,1.17,0.9,0.34,0.26,0.25,0.08,0.18,0.17,0.14,0.17,0.15,0.19
b_0,0.74,1.08,0.86,1.33,2.43,0.78,0.28,0.25,0.18,0.09,0.06,0.18,0.13,0.16,0.12,0.14
f_0,0.72,2.16,1.05,0.88,0.83,0.8,0.29,0.19,0.2,0.19,0.21,0.06,0.13,0.18,0.09,0.21
h_0,0.76,0.9,1.01,0.91,1.0,1.08,0.57,0.27,0.19,0.15,0.16,0.19,0.35,0.16,0.15,0.13
a_0,0.77,1.02,0.86,0.96,0.89,,0.24,0.33,0.23,0.16,0.11,0.14,0.13,0.05,0.16,0.24
g_0,0.87,0.81,0.99,1.14,0.85,0.83,0.22,,0.2,0.23,0.17,0.18,0.11,0.17,0.32,0.19
e_0,0.78,1.5,2.82,0.9,0.87,0.84,0.24,0.25,0.15,0.14,0.27,0.06,0.16,0.24,0.12,0.04
