,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.22,0.85,0.93,0.76,0.77,0.4,0.36,0.42,0.38,0.35,0.31,0.28,0.3,0.34,0.24
e_1,0.82,1.0,0.92,1.19,0.88,0.65,0.56,0.45,0.48,0.62,0.4,0.51,0.38,0.37,0.34,0.34
d_1,1.17,1.09,1.0,0.89,0.88,0.61,0.49,0.6,0.35,0.38,0.43,0.39,0.35,0.29,0.26,0.33
c_1,1.09,0.85,1.13,1.0,1.21,0.71,0.56,0.37,0.42,0.31,0.33,0.36,0.36,0.32,0.34,0.29
b_1,1.3,1.14,1.13,0.83,1.0,1.17,0.62,0.54,0.46,0.49,0.52,0.44,0.44,0.37,0.35,0.34
a_1,1.29,1.55,1.64,1.4,0.85,1.0,0.71,0.65,0.73,0.63,0.63,0.57,0.55,0.51,0.52,0.45
h_1,2.57,1.78,2.07,1.78,1.57,1.34,1.0,0.79,0.98,0.9,0.88,0.7,0.7,0.6,0.79,0.6
c_0,2.76,2.21,1.63,2.55,1.77,1.65,1.28,1.0,1.14,1.29,1.35,0.94,0.84,0.87,0.73,0.72
g_1,2.33,2.14,2.76,2.4,2.18,1.34,1.02,0.86,1.0,0.87,0.86,0.99,0.6,0.81,0.61,0.78
d_0,2.46,1.53,2.67,3.28,2.15,1.6,1.14,0.8,1.14,1.0,0.93,0.89,0.87,0.81,0.84,0.75
b_0,2.88,2.37,2.38,3.07,1.96,1.52,1.17,0.75,1.17,1.07,1.0,0.98,0.91,1.35,0.85,0.75
f_0,3.17,2.0,2.67,2.78,2.21,1.72,1.46,1.06,0.94,1.08,0.91,1.0,0.86,0.91,0.62,1.22
h_0,3.56,2.67,2.79,2.65,2.28,1.7,1.47,1.17,1.73,1.15,1.04,1.08,0.99,0.9,1.0,0.75
a_0,3.37,2.65,3.34,3.19,2.96,1.71,1.82,1.2,1.16,1.26,0.79,1.11,1.16,1.0,0.99,1.07
g_0,2.98,2.8,3.85,3.02,2.73,1.78,1.26,1.4,1.64,1.18,1.18,1.61,0.99,0.96,1.0,1.08
e_0,4.32,3.2,3.01,3.51,2.92,2.16,1.66,1.37,1.21,1.26,1.28,0.84,1.33,1.02,0.95,1.0
