,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,22.61,0.7,0.28,0.36,0.33,0.32,0.78,0.76,0.64,0.69,0.21,0.77,0.68,0.71,0.57,0.72
e_1,0.35,23.58,0.41,0.27,0.28,0.35,0.6,1.54,0.81,0.86,0.89,0.89,1.16,0.28,0.85,0.64
c_1,0.37,0.27,27.15,0.33,0.74,0.38,0.74,0.67,0.58,0.1,0.78,0.65,0.9,0.51,0.81,1.12
d_1,0.31,0.32,0.29,29.66,0.3,0.31,0.82,0.18,0.79,1.78,1.08,0.67,0.73,0.91,0.78,0.86
b_1,0.37,0.28,0.32,0.39,33.02,0.71,0.6,0.81,0.63,0.55,0.75,0.19,0.99,0.77,0.88,0.93
a_1,0.37,0.32,0.48,0.37,0.29,44.06,0.58,0.92,0.6,0.63,0.67,0.73,0.97,0.92,0.2,0.77
h_1,1.07,0.47,0.66,0.55,0.59,0.53,10.33,1.21,2.09,1.79,0.99,1.36,0.62,1.18,1.42,2.05
d_0,0.75,0.58,1.36,0.19,0.62,0.56,1.64,5.15,1.14,1.49,2.13,1.47,1.56,1.14,1.24,1.97
g_1,0.64,0.5,0.52,1.15,0.57,0.64,1.3,1.2,12.32,1.02,2.41,1.7,1.4,1.9,1.48,0.7
c_0,0.65,0.75,0.2,0.87,0.59,0.56,1.3,1.33,1.58,5.98,1.59,3.76,1.44,2.26,1.86,1.24
f_0,0.22,0.49,0.81,0.99,0.74,0.68,1.45,1.36,1.27,1.81,7.0,1.74,1.66,4.49,1.28,2.11
b_0,0.66,0.73,0.82,0.51,0.21,0.56,1.85,1.46,1.94,1.9,1.7,7.04,1.74,1.6,3.42,1.7
h_0,0.96,0.53,0.59,0.54,0.67,0.68,0.65,1.3,1.86,1.32,1.6,1.99,0.8,1.63,1.35,1.77
e_0,0.51,0.29,0.73,0.61,0.82,0.68,1.79,2.28,1.52,2.01,1.89,2.36,1.89,10.67,2.56,2.26
a_0,0.79,0.45,0.88,0.74,0.69,0.24,1.83,1.86,1.16,1.5,1.13,2.0,1.89,2.1,10.36,1.86
g_0,0.39,0.63,0.66,1.21,0.8,0.55,1.59,0.75,0.41,1.34,2.19,1.8,1.44,1.74,1.25,0.56
