,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.17,1.79,1.8,1.6,1.44,1.48,0.37,0.32,0.73,0.25,1.24,0.31,0.3,0.19,0.34,0.29
e_1,0.89,0.17,1.28,2.33,2.18,1.92,0.47,0.36,0.49,0.39,0.39,0.39,0.27,0.27,0.83,0.27
d_1,1.68,1.97,0.16,1.98,1.59,1.78,0.42,1.63,0.27,0.4,0.3,0.26,0.28,0.19,0.33,0.13
c_1,1.68,1.59,2.14,0.15,1.7,1.58,0.46,0.16,0.55,1.75,0.28,0.34,0.41,0.2,0.3,0.24
b_1,2.07,1.51,2.31,0.85,0.14,1.59,0.47,0.41,0.52,0.4,0.42,1.55,0.39,0.27,0.3,0.3
a_1,2.03,1.61,1.5,1.81,0.86,0.09,0.64,0.47,0.42,0.44,0.39,0.62,,0.26,0.29,0.27
h_1,1.05,0.92,0.94,0.9,0.97,0.87,0.07,0.18,0.26,0.15,0.18,0.18,0.16,0.42,0.17,0.14
d_0,1.05,0.47,2.41,0.89,1.23,0.9,0.29,0.08,0.31,0.24,0.18,0.21,0.22,0.15,0.19,0.18
g_1,0.93,0.92,0.99,1.16,0.91,1.03,0.22,0.22,0.05,0.15,0.16,0.23,0.16,0.11,0.19,0.33
c_0,0.92,0.86,0.48,3.81,1.17,1.02,0.26,0.21,0.32,0.07,0.17,0.17,0.22,0.15,0.2,0.15
f_0,3.37,0.79,0.84,0.93,0.81,0.9,0.28,0.18,0.22,0.15,0.06,0.19,0.14,0.13,0.17,0.08
b_0,1.02,0.84,0.71,1.13,3.92,0.73,0.27,0.21,0.22,0.09,0.16,0.06,0.19,0.16,0.21,0.15
a_0,1.46,0.85,0.94,0.93,1.03,,0.28,0.2,0.28,0.13,0.15,0.08,0.05,0.14,0.18,0.13
h_0,0.86,0.83,0.95,0.9,1.0,1.07,0.76,0.18,0.24,0.16,0.15,0.16,0.19,0.37,0.18,0.13
e_0,1.3,2.65,0.72,0.77,0.83,0.87,0.31,0.14,0.26,0.17,0.08,0.18,0.15,0.12,0.05,0.1
g_0,0.86,0.98,0.89,0.76,1.17,1.05,0.21,0.19,0.56,0.21,0.2,0.19,0.16,0.11,0.22,
